abnormality,병신
exhaustive,남김없는
exhaustively,남김없이
exhaust,남김없이 논하다
raze,남김없이 파괴하다
separated,남남
southsoutheast,남남동
barleybrake,남녀 3인씩 술래잡기
coresidence,남녀 공동 기숙사
androgyny,남녀 공용 의상
coeducate,남녀 공학 교육을 실시하다
coed,남녀 공학의
ambisextrous,남녀 구별이 어려운
feminism,남녀 동권주의
androgyne,남녀 양성 구유자
epicene,남녀 양성을 함께 가진
doublegaited,남녀 양용의
nonsexist,남녀 차별을 하지 않는
coeducation,남녀공학
nonsexual,남녀구별이 없는
coinstitutional,남녀별 학급제 고교의
unisexed,남녀의 구별이 안 되는
sexism,남녀차별
androgynous,남녀추니의
southmost,남단의
southeast,남동
azurite,남동광
southeastward,남동에
southeasterly,남동으로부터
southeaster,남동풍
ragged,남루하다
clandestine,남몰래
uruguay,남미 남동부의 공화국
logwood,남미 열대지방산의 나무
hispano,남미계의
sbe,남미동
jaborandi,남미산 운향과 식물
sbw,남미서
guyana,남미의 독립국
bolivia,남미의공화국
cysticercus,남미충
bogota,남미콜롬비아의 수도
overissue,남발
secession,남부 11주의 분리
southernism,남부 기질
saxony,남부 독일의 지방
confederate,남부 동맹의
southron,남부 사람
dixie,남부 여러 주의 별명
rebeldom,남부 연방
meridional,남부 유럽의
sybaris,남부 이탈리아의 고대 그리스 도시
dixican,남부 출신의 공화당원
respectability,남부끄럽지 않음
downhome,남부적인
northsouth,남북의
antebellum,남북전쟁전의
trueblue,남빛
atlantes,남상기둥
telamon,남상주
sodomy,남색
pederasty,남색
buggery,남색
pederast,남색자
sodomite,남색자
southwest,남서
samoa,남서 태평양의 군도
southwesterly,남서로
southwestwardly,남서로
clyde,남서부의 만
southwestward,남서에
southwestern,남서의
southwester,남서풍
antifeminist,남성 상위의
phalocrat,남성 우월주의자
machodrama,남성 우위극
androcentric,남성 중심의
andrology,남성과학
clothier,남성복 소매상
mantailored,남성복식으로 만들어진
fruity,남성애의
butch,남성역의 여성
bulldagger,남성역의 여성 동성 연애자
buds,남성용 내의
menswear,남성용 의류
metapausr,남성의 갱년기
beefcake,남성의 근육미 사진
anima,남성의여성적요소
twofisted,남성적인
virile,남성적인
androsterone,남성호르몬의일종
virilism,남성화
androgenize,남성화 하다
defeminize,남성화하다
crux,남십자성
overabundant,남아 돌아가는
superabundant,남아 돌아가는
superfluity,남아 돌아가는 돈
overabound,남아 돌아가다
hairweaving,남아 있는 머리에 가발이나 다리 등을 덧넣기
abundant,남아돌 정도의
superabound,남아돌다
pampas,남아메리카
surinam,남아메리카 북동 해안의 독립국
guiana,남아메리카 북동부의 가이아나 공화국
venezuela,남아메리카 북부의 공화국
paraguay,남아메리카 중부의 공화국
quebracho,남아메리카산 옻나무과의 교목
peru,남아메리카의 공화국
gaucho,남아메리카의 목동
zululand,남아프리카 공화국 주 북동부의 준주
impi,남아프리카 또는 Kafir족 전투원의대부대
rand,남아프리카 시 부근의 세계 제 1의 금산지
bushveld,남아프리카 저지대
afrikander,남아프리카 태생의 백인
afrikaner,남아프리카 태생의 백인
aardvark,남아프리카산 땅돼지
africander,남아프리카산의 육우
afrikaans,남아프리카의 공용네덜란드 말
presentable,남앞에 내 놓을 수 있는
araucaria,남양삼나무속의 나무
rapper,남에게 누명을 씌우는 죄
sleighride,남에게 이용당함
scapegoatism,남에게 죄를 덮어 씌움
hatemonger,남에게 증오
nuisance,남에게 폐를 끼치는 행위
unprompted,남에게서 지시받은 것이 아닌
southwardly,남에서 부는
aquamarine,남옥
grasping,남욕스러운
misapplication,남용
misappropriation,남용
dago,남유럽인
tormentress,남을 괴롭히는 여자
squelcher,남을 끽소리 못하게 하는 주장
sequacious,남을 따르는
trustless,남을 믿지 않는
masterful,남을 부리려 하는
actuate,남을 자극하여 시키다
libellous,남을 즐겨 중상하는
dampen,남을 풀죽게 하다
gatemouth,남의 개인적 사항을 여기저기 퍼뜨리는 사람
vampire,남의 고혈을 짜는 사람
pawn,남의 끄나불 짓하는 사람
rathole,남의 눈에 띄지 않게 저장하다
coy,남의 눈에 띄지 않는
eyeappealing,남의 눈을 끄는
imposing,남의 눈을 끄는
unattractive,남의 눈을 끌지 않는
stealthiness,남의 눈을 피함
tagalong,남의 뒤를 따라다니는
stooge,남의 뜻대로 하는 사람
precarious,남의 뜻에 좌우되는
unforthcoming,남의 말을 안 듣는
imitate,남의 말이나 몸짓을 놀리거나 업신여겨 흉내내다
schadenfreude,남의 불행을 좋아함
taletelling,남의 비밀을 퍼뜨리는
beggarmyneighbor,남의 손실로 이익을 얻는
lapsed,남의 손으로 넘어간
selfconfident,남의 앞을 꺼리는
interfering,남의 일에 참견하는
interloper,남의 일에 참견하는 사람
inconsiderate,남의 일을 생각할줄 모르는
scapegoat,남의 죄를 대신 짊어지는 사람
unnoticeable,남의 주목을끌지  못하는
introject,남의 특질
excusemedance,남의 파트너와 춤추어도 되는 댄스
wellwishing,남의 행복을 비는
needler,남의 흠을 잡는사람
nitpicking,남의 흠을 잡아내는
spoilsport,남의 흥을 깨뜨리는 사람
offenseless,남의감정을 해치지 않는
doggo,남의눈을 피하여
illwisher,남이 못되기를 비는 사람
earwitness,남이 하는 이야기를 듣는사람
roundheel,남자 꼬임에 잘 걸려드는 여자
gail,남자 또는 여자 이름
warlock,남자 마술사
amazonian,남자 못지 않은
danseur,남자 발레 댄서
merman,남자 수영 선수
manchild,남자 아이
shirtmaker,남자 와이셔츠 비슷하게 만든 여자용 블라우스
selamlik,남자 전용실
kinsman,남자 친척
masculine,남자같은
manful,남자다운
heman,남자다운 남자
machismo,남자다움
manwise,남자답게
menfolks,남자들
stag,남자들만의
manhater,남자를 싫어 하는 사람
teaser,남자를 애타게 하는 여자
seductress,남자를 유혹하는 여인
vampirism,남자를 호리기
bonnet,남자모자
seducible,남자에게 속기 쉬운
boondagger,남자역의 여성 동성애자
haberdashery,남자용 장신구류
haberdasher,남자용 장신구상인
gents,남자용화장실
baron,남작
baronage,남작 명부
baronial,남작다운
barony,남작령
baroness,남작부인
evgeni,남장 이름
cyanite,남정석
culminant,남중하고 있는
culminate,남중하다
decani,남쪽 성가대가 노래해야 할
southerner,남쪽사람
southerly,남쪽으로
austral,남쪽의
bice,남청색의 물감
tonga,남태평양의 소왕국
discovert,남편 없는 신분의여성 또는 과부의
suttee,남편에게 순사하는 아내
marital,남편의
patrilocal,남편쪽 거주의
souther,남풍
frater,남학생 클럽 회원
schoolboyish,남학생같은
southing,남항 행정
southbound,남행의
wax,납
waxing,납 바르기
leaded,납 중독에 걸린
caltrop,납가새
glyphographic,납각 전기 제판의
batik,납결 염색법
cerate,납고
cerated,납고를 입힌
urn,납골단지
inurn,납골단지에 넣다
cinerarium,납골당
ossuary,납골당
repository,납골당
ceraceous,납모양의
lividity,납빛
waxworks,납세공
ratal,납세상의
dutypaid,납세필의
ceroplastic,납소술
waxy,납양 변성에 걸린
leadwork,납용제
leaden,납으로 만든
came,납으로 만든 틀
babbitt,납의 합금
prone,납죽엎드린
saturnism,납중독
kidnapping,납치
cerecloth,납포
cerement,납포
ordering,납품
encaustic,납화
bursa,낭
lycanthropy,낭광
recital,낭독
ambo,낭독대
declamation,낭독법
elocution,낭독법
bookteller,낭독자
reader,낭독자
scar,낭떠러지
cliffy,낭떠러지의
sonorous,낭랑한
romanticism,낭만적임
gastrula,낭배
epiblast,낭배의 외피
scattergood,낭비가
spender,낭비가
spendthrift,낭비가
unthrift,낭비가
inefficient,낭비가 많은
illspent,낭비된
prodigal,낭비자
waster,낭비자
wastrel,낭비자
lavish,낭비적인
thriftless,낭비하는
wasteful,낭비하는
prodigalize,낭비하다
misspent,낭비한
saccular,낭상
ascidium,낭상엽
saccate,낭상의
sacciform,낭상의
rehearsal,낭송
archicarp,낭자균류의 자성기관
cyst,낭종
lupus,낭창
lupous,낭창성의
cysticercoid,낭충의
nantes,낭트프랑스 북서부의 항구도시
discomposure,낭패
blastocyst,낭포
cystiform,낭포상의
croon,낮게 부르는 노래
minify,낮게 평가하다
underrate,낮게 평가하다
deepchested,낮고 힘센
taboret,낮은 대
stillage,낮은 받침대
battler,낮은 생활 수준의 근로자
crooner,낮은 소리로 노래하는 사람
eldercare,낮은 요금의 노인 의료 계획
underplay,낮은 패를 내다
lowness,낮음
diurnal,낮의
nooning,낮의 휴식
matinee,낮흥행
slaver,낯 간지러운 아첨
unacquainted,낯선
grockle,낯선사람
unco,낯이 선
inflect,낱낱이 활용하다
collocation,낱말의 배치
procreative,낳는
generateator,낳는 것
begetter,낳는 사람
generable,낳을 수 있는
endoskeleton,내 골격
gynaecocracy,내 주장
peccavi,내가 죄를 범했도다
xeric,내건성의
incurve,내곡구
retrocession,내공
fightworthy,내공성의
airworthy,내공성이 있는
retrocede,내공하당
internist,내과전문의사
endocarp,내과피
introspective,내관적인
lightfast,내광성의
sunproof,내광성의
persistence,내구
durability,내구
endurance,내구성
wearability,내구성
bylaws,내규
deskman,내근 기자
stakeholderp,내기 돈을 맡은 사람
stint,내기 아까워함
bettor,내기하는 사람
cryoprotective,내냉동제
psychrotolerant,내냉성의
liberate,내놓다
smolder,내는 불
bowwindowed,내달이창이 달린
throwout,내던져진 사람
pelter,내던지는 사람9것
fling,내던지다
hurl,내던지다
holland,내덜란드
mithridatism,내독성
endotoxin,내독소
endotoxoid,내독소에서 얻을 수 있는 변성 독소
downwash,내려 씻음
descending,내려가는
descender,내려가는 사람
nutation,내려다봄
inlander,내륙사람
depress,내리 누르다
weightily,내리누르며
portcullis,내리닫이 쇠살문
catsuit,내리닫이 팬츠수트
doublehung,내리닫이의
overarm,내리던지는
overhand,내리던지는
declivity,내리막
downhill,내리받이
deign,내리시다
downhaul,내림밧줄
마음,내면
internality,내면성
internalization,내면화
barracks,내무반
quarters,내무반
corbeling,내물림 구조
extrusive,내미는
introversion,내반
bowlegged,내반슬의
clubfoot,내반족
visitation,내방
visiting,내방
endoblast,내배엽
endoderm,내배엽
hypoblast,내배엽
endomorphy,내배엽형
endothelium,내복 조직
infilling,내부 건재충전재
endoparasite,내부 기생체
incrowd,내부 사정이나
fitment,내부 시설
endosarc,내부 원형질
endorheic,내부 유역의
innerdirected,내부 지향적인
infighting,내부 항쟁
interoceptor,내부감각수용기
innards,내부내부 구조
internaly,내부로
endogenous,내부로부터 발생하는
inwardly,내부에
inbreed,내부에 생기게 하다
intra,내부에의 뜻 결합사
nkvd,내부인민위원부
interphone,내부전화
incretion,내분비
endocrine,내분비물
endocrinology,내분비학
hormonology,내분비학
scarper,내빼다
sluicy,내뿜는
belch,내뿜다
spout,내뿜다
effluence,내뿜음
endoscope,내사경
interpolation,내삽법
autogenous,내생의
introspection,내성
hypogene,내성의
introverted,내성적인
heartsearching,내성하는
introspect,내성하다
eschatology,내세관
otherworldly,내세의
nassau,내소
wickedness,내송
treachery,내송
immersible,내수성의
waterfast,내수성인
nestorism,내스토리우스의 교의
inroad,내습
endoscopy,내시경 검사
ingression,내식
inward,내심
inly,내심에
endocentric,내심적인
specifics,내역
concubinage,내연관계
nimonic,내열
ovenware,내열 접시
highheat,내열성의
stabile,내열성의
heatproof,내열의
flameproof,내염성의
flameretardant,내염성의
uptime,내용 시간
docket,내용 적요
keelson,내용골
barren,내용이 보잘것 없는
insubstantial,내용이 없는
toom,내용이 없는
underclothes,내의
undergarments,내의
undies,내의
inspired,내의를 받은
ototoxic,내이 신경독성의
implantion,내이식
endogeny,내인성 발육
endolymph,내임파
entrails,내장
viscera,내장
splanchnology,내장학
embedded,내장형
immanency,내재
inbeing,내재
immanence,내재론
nency,내재론
immanent,내재의
indwelling,내재하다
inwardness,내적임
adductor,내전근
adduct,내전시키다
adducent,내전의
adductive,내전의
nonintervention,내정불간섭
inwardlooking,내정중시
helpmate,내조자
inlier,내좌층
incomer,내주자
antigsuit,내중력복
midland,내지
aseismatic,내진의
earthquakeproof,내진의
incabloc,내진장치
endoplasm,내질
ingroup,내집단
exorcise,내쫓다
relegable,내쫓아야할
gynaecocratic,내창주의
extravasate,내출혈하다
naturalbridge,내츄럴 브리지
disinclined,내키지 않는
intriguant,내통자
implosion,내파
implode,내파시키다
implosive,내파음
connotation,내포
connotative,내포적인
connote,내포하다
fusee,내풍성냥
stormproof,내풍의
endodermis,내피
austerity,내핍 생활
seaworthy,내항성이 있는
introversive,내향인
firestone,내화 석재
firebrick,내화벽돌
fireproof,내화성으로 하다
fireproofing,내화성화
apathy,낸담
nand,낸드
potholder,냄비 드는 기구
panful,냄비가득
vinaigrette,냄새 맡는 약병
scentless,냄새 자위를 남기지 않는
quickscented,냄새 잘 맡는
deodorization,냄새 제거
reek,냄새가 나다
redolent,냄새가 짙은
smelly,냄새나는
smellie,냄새나는 영화
stink,냄새를 맡아내다
perfumer,냄새를 풍기는 사람
olfactory,냄새의
odoriferous,냄새좋은
nappe,냅
sire,냅
tearing,냅다
napkin,냅킨
neptune,냅튠바다
fluvial,냇물의 작용으로
cooling,냉각
cooler,냉각기
refrigeratory,냉각실
chiller,냉각장치
refrigerator,냉각장치
coolant,냉각제
refrigerant,냉각제
chill,냉각하다
chilled,냉경한
luminescence,냉광
luminesce,냉광을 발하다
chilliness,냉기
callosity,냉담
insensibility,냉담
nonchalance,냉담
coldness,냉담
coolness,냉담
frigidity,냉담
coldly,냉담하게
coolly,냉담하게
frostily,냉담하게
chilling,냉담한
icecold,냉담한
icy,냉담한
coldblooded,냉담한
coldhearted,냉담한
standoffish,냉담한
illtreatment,냉대
inhospitality,냉대
freezedrying,냉동 건조
freezedry,냉동 건조하다
cryopreservation,냉동 보존
custard,냉동 커스터드
reefer,냉동고
icebox,냉동실
cryotherapy,냉동요법
sardonic,냉소적인
frigidarium,냉욕장
shepherdspurse,냉이
refrigerate,냉장되다
refrigerative,냉장의
calmness,냉정
sangfroid,냉정
iceman,냉정을 잃지 않는 도박사
philosophically,냉정하게
recollect,냉정하게 하다
levelheaded,냉정한
snubby,냉정히 대하는
businesslike,냉철
metallic,냉철하다
hematocryal,냉혈의
hellkite,냉혈한
inexorability,냉혹
obduracy,냉혹
sternness,냉혹
yumyum,냠냠
thyself,너 자신
indulgence,너그럽게 봐줌
lenient,너그럽다
thou,너는
disgustful,너더리나는
squalor,너더분함
tatter,너덜너덜 해뜨리다
beechen,너도 밤나무의
beech,너도밤나무
fagaceous,너도밤나무과의
beechnut,너도밤나무의 열매
spacious,너르다
overwind,너무 감다
icky,너무 감상적인
overlabour,너무 공들이다
overlong,너무 긴
overmast,너무 긴돛대를 달다
prettypretty,너무 꾸며댄
overhoused,너무 넓은 집에서 사는
semisweet,너무 달지 않은
oversophisticate,너무 닳고 닳은 사람
overjump,너무 뛰다
overfull,너무 많은
overbuy,너무 많이 사다
overmatter,너무 많이 짠 활자
oversold,너무 많이 판
runny,너무 무른
overconfident,너무 믿는
overindulgent,너무 방임하는
overbought,너무 비싸진
overcritical,너무 비판적인
underdressed,너무 살갗을 드러낸
goodiness,너무 선인인체하기
overhit,너무 세게 치다
overcredulous,너무 쉽사리 믿는
spoonfeed,너무 어하다
overripe,너무 익은
overread,너무 읽다
outsleep,너무 자다
overgrown,너무 자란
overstretch,너무 잡아즐이다
superfine,너무 점잔빼는
overfond,너무 좋아하는
oversize,너무 큰
oversing,너무 큰 소리로 노래하다
unputdownable,너무나 재미있는
kidglove,너무나 점잖은
gondola,너벅선
punt,너벅선
landswell,너울
flare,너울너울타오르다
bllowy,너울의
thine,너의 것
thy,너의 소유격
slipslop,너절하다
sloppy,너절하다
knuckleball,너클볼
guffaw,너털웃음
ye,너희들
youall,너희들
snowplow,넉가래
surriciency,넉넉함
audacity,넉살
distrait,넋 나간
grumble,넋 두리
sated,넌더리나 있다
disgustedly,넌더리나서
sicken,넌더리내다
insinuator,넌지시 말하는 사람
allude,넌지시 비추다
insinuate,넌지시 비추다
allusive,넌지시 빗대고 말하는
glancing,넌지시 빗대는
widespreading,널따랗게 펼쳐진
allseeing,널리 만물을 내다보는
resoundingly,널리 알려져
resounding,널리 알려진
reigning,널리 유행하는
permeate,널리 퍼지다
promulgate,널리 펴다
prevalencey,널리 행해짐
duckboards,널빤지 길
shingly,널빤지로 이은
boardwalk,널을깐보도
capacious,널찍하다
commodious,널찍하다
roomy,널찍하다
amply,널히
extensile,넓어지는
prolate,넓어진
expanse,넓음
huckle,넓적다리
thigh,넓적다리
cuisse,넓적다리 가리개
tuille,넓적다리받이
gaper,넓적부리새
groveling,넓죽 엎드리는
groveler,넓죽 엎드리는 사람
inextensible,넓힐수없는
outshoot,넘게 쏘다
previsional,넘겨다본
devolve,넘겨지다
fnumber,넘버
fstop,넘버 표시 조리개
outofsight,넘어서있는
humptydumpty,넘어지면 못 일어나는 사람
extravasation,넘쳐 흐름
spillover,넘쳐나는 인구
overspill,넘쳐나온 것
ebullient,넘쳐흐르는
inundant,넘쳐흐르는
profluent,넘쳐흐르는
inundate,넘치게 하다
overbrim,넘치게하다
profusely,넘치도록
topful,넘칠 정도의
plaice,넙치의 무리
rags,넝마
tatters,넝마
ragman,넝마 장수
scarecrow,넝마를 걸친 사람
tatty,넝마의
rag,넝마조각
interpose,넣다제기하다
negrillo,네그릴로
negligee,네글리제
fourlegged,네다리의
netherlands,네덜란드
nereus,네레우스
nero,네로
nematic,네마틱의
nemesis,네메시스
nemea,네메아
squarish,네모진
squareness,네모짐
nemophila,네모필라
nevada,네바다
fourfooted,네발달린
tetrapod,네발짐승
nebraska,네브래스카주
nessus,네소스
nestorius,네스토리우스
ness,네스호
nessie,네시
neodymium,네오디뮴
neomycin,네오마이신
neosalvarsan,네오살바르산
neoprene,네오프렌
neon,네온
neume,네우마
neum,네우마
naderite,네이더식
navel,네이블
fourthly,네째로
bandanna,네커치프
neckerchief,네커치프
neckline,네클라인
necking,네킹
netball,네트볼
netskimmer,네트스키머
networking,네트워킹
netizen,네티즌
nepalese,네팔의
nepali,네팔의
neper,네퍼
nepenthes,네펜시스
nef,네프
nexus,넥서스
nextel,넥스텔
nectar,넥타
scarfpin,넥타이 핀
tiepin,넥타이 핀
stickpin,넥타이핀
nelson,넬슨
nembutal,넴뷰탈
neptunium,넵투늄방사능 원소의 하나 , 기호 , 번호 9
frogmarch,넷이 팔다리를 붙들고 나르다
agnomen,넷째 이름
quartus,넷째의
hearth,노
fireplace,노
kiln,노
oary,노 모양의
oarage,노 장비
oarsmanship,노 젓는 법
bowman,노 젓는 사람
rower,노 젓는 사람
quinquereme,노가 5단으로 된 노예선
fouroar,노가 넷인 보트
juniper,노간주나무
rowlock,노걸이
senescence,노경
senescent,노경의
swink,노고
lethargic,노곤하다
plump,노골적
outspoken,노골적
arbalest,노궁
dreadnought,노급함
noggin,노긴소량머리
nonactin,노낵틴
psychogeriatrics,노년 정신 의학
superannuation,노년 퇴직
grayhaired,노년의
presby,노년의 뜻
oldage,노년자의
jobsharing,노느매기일
hetaera,노는 계집
playtime,노는 시간
nonyl,노닐기
bonanza,노다지
balcony,노대
stretchout,노동 강화
laborsaving,노동 절약의
antiunion,노동 조합 반대의
unionization,노동 조합 형성
checkoff,노동 조합비 공제
unionism,노동 조합원
laborism,노동당의 주의
dungaree,노동복
ergolatry,노동숭배
nonmarket,노동시장에 포함되지 않은
workpeople,노동자들
nonunionism,노동조합 불가입
nonunion,노동조합불가입자가 만든
unionize,노동조합에 가입시키다
unorganized,노동조합에가입하지않은
laboring,노동하는
yellowlegs,노랑발도요
spoonbill,노랑부리 저어새
jonquil,노랑수선화
swordflag,노랑창포
outsing,노래 부르기 시작하다
singingmaster,노래 선생
songful,노래가 많은
songless,노래가 없는
millepede,노래기
unsung,노래되지 않은
throstle,노래지
chant,노래하기
songfest,노래회
plunder,노략질하다
loot,노략질하다
glare,노려 흘겨 보다
gorgonize,노려보아돌로 변하게 하다
glower,노려봄
struggler,노력가
inexertion,노력부족
exertive,노력하는
effortless,노력하지 않는
veteranize,노련하게 하다
senity,노령
gernotophobia,노령공포
superaddition,노령으로 퇴직하다
gerontic,노령의
backwash,노로 저은 물
hepatica,노루귀
baneberry,노루삼속의 식물
spiraea,노루오줌과의 식물
norman,노르만 사람과 프랑스 사람의 혼합민족
anglonorman,노르만 사람의
normanfrench,노르만 프랑스 말의
normanism,노르만식노르만 사람 편들기
normanize,노르만식으로 하다
normanescque,노르만식의
normanization,노르만화
normandy,노르망디
noradrenergic,노르아드레날린에 의해 활성화된
norethindrone,노르에티노드렐
norethynodrel,노르에티노드렐
norepinephrine,노르에피네프린
norse,노르웨이 말
maelstrom,노르웨이 서부 해안의 큰 소용돌이
norway,노르웨이스칸디나비아 반도 서부의 왕국 , 수도
oslo,노르웨이의 수도
norwegian,노르웨이이
norfloxacin,노르플록사신
norn,노른
oared,노를 갖춘
gamblesome,노름을 즐기는
norwitch,노리치
stinkbug,노린재의 무리
calicoback,노린재의 일종
dotage,노망
dote,노망들다
anile,노망한
doited,노망한
doting,노망한
roadholding,노면 유지 성능
roadability,노면 주행 성능
roadable,노면 주행에 알맞은
scarifier,노면 파쇄기
trammie,노면의 운전사
nomogram,노모 그램
calamite,노목
roadbed,노반
oarlock,노받이
nobel,노밸상 창시자
walesa,노벨 평화상 수상198
nobelium,노벨륨인공 방사성원소 기호번호 10
nobelist,노벨상 수상자
novocain,노보카인
braless,노브라의
nobra,노브라의
nobrand,노브랜드의
knobkerrie,노브케리
sedentarily,노상 앉아서
onstreet,노상의
northamptionshire,노샘프턴
decrepitude,노쇠
impotent,노쇠자
decrepit,노쇠한
effete,노쇠한
superannuated,노쇠한
siwash,노숙하다
nostradamus,노스트라다무스
presbyopic,노시의
meltdown,노심 융해
noah,노아
noachain,노아시대의
antemeridiem,노아의 홍수 이전의
antediluvian,노아의홍수이전의
presbyopia,노안
blackberd,노에선에 붙잡힌 캐너켜 원주민
fag,노역
slavehunter,노예 사냥꾼
slavetrader,노예 상인
enthrallment,노예 상태
freedman,노예 신분에서 해방된 자유민
helotry,노예 제도
proslavery,노예 제도 지지
manumission,노예 해방
emancipationist,노예 해방론자
slaveborn,노예로 태어난
enslave,노예로만들다
enthral,노예로만들다
slavegrown,노예를 시켜서 만든
servileity,노예상태
blackbird,노예선에 유괴된 카나카사람
barracoon,노예수용소
maxon,노예시대의 남북 경계선
dixonline,노예시대의 남북 경계선
vassalage,노예의 신분
bondage,노예의신분
slavish,노예적인
antislavery,노예제도반대의
neurosis,노이로제
psychoneurosis,노이로제
mixedup,노이로제 기미의
neurotic,노이로제에 걸린
geriatrician,노인병 학자
geriatrics,노인병학
gerontology,노인병학
gerontophilia,노인애
gerontological,노인학의
laotse,노자
laotzu,노자
oar,노젓다
ogive,노즈콘
nosetackle,노즈태클
nozzleman,노즐을 잡는 사람
bleach,노천 관람석
stripmine,노천 채굴하다
openpit,노천굴
denudation,노출
overexposure,노출 과다
overexpose,노출 과도
underexpose,노출 부족으로 하다
exposed,노출된
uncovered,노출된
underexposure,노출부족
adamism,노출증
doorknocker,노커
gnotobiotics,노토바이오틱스
nautilus,노틸러스호
nottingham,노팅엄 의 주도
nottinghamshire,노팅엄셔
nopal,노팔선인장
norfolk,노퍽
hotblooded,노하기 쉬운
irate,노한
ranting,노호
fulminatory,노호하는
antiageing,노화 방지의
antioxidant,노화 방지제
gerovital,노화방지 약
aloe,노회
synodic,노회와 전국 총회의 중간 조직
crocky,노후한
rust,녹
tarnish,녹
antirust,녹 방지제
hartshorn,녹각정
fusible,녹기쉬운
glaucoma,녹내장
glaucomatous,녹내장의
chlorite,녹니석
greenwoods,녹림
copperas,녹반
rusty,녹병에 걸린
stipend,녹봉
greensand,녹사
greengill,녹색 아가미의 굴
greenblind,녹색맹의
nongreen,녹색이 아닌
madrepore,녹석
prase,녹석영
smaragdite,녹섬석
knocks,녹스
knox,녹스
rusticity,녹슬어서
rustily,녹슬어서
greenheart,녹심목
diffluent,녹아 흐르는
melty,녹아가는
knockout,녹아웃
greenstone,녹암
chrysoprase,녹옥수
fusil,녹은
dropshot,녹은 금속의 방울을 물에 떨어뜨려서 알맹이로 만든 것
prebendal,녹을 받는 성직자의 직
recorder,녹음기
recordist,녹음담당자
tapedelay,녹음시차
rustless,녹이 없는
thawy,녹이는
beryl,녹주석
berylline,녹주석의
greenfield,녹지대
greenbelt,녹지대
entanglement,녹채
aerugo,녹청
verdigris,녹청
overworked,녹초가 되다
controversialist,논객
loggerheads,논란
logicality,논리성
logicism,논리주의
miscellany,논문집
elenchus,논박
refutation,논박
unanswered,논박되지 않은
disprove,논박하다
rebut,논박하다
irrefragable,논박할 수 없는
unanswerable,논박할 수 없는
refutable,논박할 수 있는
clacker,논밭에서 새를 쫓는 장치
dialectician,논법가
aditorial,논설 광고
editiorialist,논설위원
ricebird,논에 많은 새들의 총칭
argumentation,논의
polemical,논쟁법
eristic,논쟁술
tenson,논쟁시
disputative,논쟁인
arguer,논쟁자
disputant,논쟁자
disputatious,논쟁적인
ignorationelenchi,논점 상위의 허위
questionbegging,논점 회피
demonstrator,논증자
outargue,논파하다
confutable,논파할 수 있는
inexpugnable,논파할수 없는등
commenter,논평가
nonfiction,논픽션
nonfictional,논픽션의
arguable,논할 수 있는
loaf,놀고지내다
playful,놀기 좋아하는
astonished,놀란
startled,놀란
alarming,놀랄 정도의
startlingly,놀랄만큼
wondrously,놀랄만큼
phew,놀람 따위를 나타내는 소리
astonishingly,놀랍게
hogfish,놀래기
seawife,놀래기과의 바닷물고기
affright,놀래다
amaze,놀래다
gibingly,놀려대며
chaffer,놀리는사람
badinage,놀리며
tongueincheek,놀림조의
gamesome,놀이를 좋아하는
breechblock,놀이쇠
jackinthegreen,놀이에서 푸른 잎으로 덮인 광주리 속에 들어 있는 사내아이
playhouse,놀잇간
billow,놀치다
lounger,놈팡이
spinebasher,놈팡이
brazier,놋갓장이
brassware,놋그릇
braziery,놋쇠 세공
braze,놋쇠로만들다
agriculturists,농가
farmers,농가
farmhouse,농가
impetigo,농가진
wilily,농간부려
geoponics,농경수ㄹ
agronomics,농경학
agronomy,농경학법
bondman,농노
helot,농노
serfdom,농노
villenage,농노제
diabase,농농
bantering,농담조
aggie,농대
cajolement,농락
dobbin,농사말
agrichemical,농약
agrochemical,농약
shamba,농원
crops,농작물
farmland,농지
cerulean,농청색
concentrator,농축기
pyaemia,농혈증
ingredients,농후
lob,높게 상대방의 뒷쪽으로 가게치다
barstool,높고 둥근 의자
uplifted,높여진
panjadrum,높으신 분
higherup,높으신 양반들
tallness,높음
enhanced,높인
raised,높인
exaltation,높임
loosebox,놓아 기르는 외양간
encephalography,뇌 엑스레이 촬영법
din,뇌고 되뇌이다
pons,뇌교와 연수사이의 중추신경조직
pontine,뇌교의
fornix,뇌궁
brontosaurus,뇌룡
cerebrate,뇌를 쓰다
meninges,뇌막
meninx,뇌막
meningitis,뇌막염
meningeal,뇌막의
gpi,뇌매독
fretted,뇌문 무늬의
fretwork,뇌문 무늬의 것
bribe,뇌물
payola,뇌물
slush,뇌물
reached,뇌물을 먹은
bribegiver,뇌물을 주는 사람
corruptible,뇌물이 통하는
neufchatel,뇌사텔
fulminate,뇌산염
thunderstone,뇌석
caducity,뇌쇠
impotence,뇌쇠
encephalic,뇌수의
hydrocephalus,뇌수종
hydrocephalous,뇌수종의
thor,뇌신
fastigium,뇌실정
tonite,뇌약
softening,뇌연화
cerebritis,뇌염
encephalitis,뇌염
phrenitis,뇌염
encephalitogen,뇌염 유발 물질
encephalitic,뇌염의
lobotomy,뇌엽 절재
leukotomy,뇌엽 절제
leucotome,뇌엽절제용 메스
thundershower,뇌우
thundercloud,뇌운
apoplexy,뇌일혈
thunderbolt,뇌전
fulminous,뇌전성의
grouse,뇌조
ptarmigan,뇌조
encephalogram,뇌조영도
encephalomyocarditis,뇌척수 심근염
encephalomyelitis,뇌척수염
cerebrospinal,뇌척수의
