abolish,철폐하다
canon,교회의 법규
sexton,교회의 사찰
impropriation,교회의 수입을 속인의 손에 넘김
pewopener,교회의 좌석 안내인
unchurch,교회의 특권을 빼앗다
triforium,교회의 회중석 및 성가대석 측벽의 아치와 와의 사이의 부분
ecclesiasticism,교회주의
apologue,교훈담우화
edifying,교훈이 되는
unedifying,교훈이 되지 않는
preceptor,교훈자
didacticism,교훈적 경향
didactic,교훈적인
orb,구
spheral,구 모양의
sphery,구 모양의
pravda,구 소련 공산당 기관지
trestlework,구각의 뼈대
section,구간
canker,구강궤양
stomatitis,구강병학
palatogram,구개도
uvular,구개수의
palatal,구개음의
palatalization,구개음화
palatalize,구개음화하다
begging,구걸
enjambment,구걸치기
panhandle,구걸하다
crease,구겨지다
ruffle,구겨지다
uncrushable,구겨지지 않는
creased,구겨진
bystander,구경꾼
standerby,구경꾼
kohlrabi,구경양배추
calibration,구경측정
calibrator,구경측정기
conifer,구과식물
coccus,구균
bulb,구근
bulbous,구근 모양의
bulbaceous,구근성의
bulbiferous,구근이 생기는
heliambulance,구급 헬리콥터
standby,구급선
nineninenine,구급전화 변호겨경찰 , 구급지.소방소를 부를 번호
crinkle,구기다
crumple,구기다
creases,구김살
creasing,구김살
crimples,구김살
crinkles,구김살
rumples,구김살
creasy,구김살 투성이의
goffer,구김살을 짓다
stomatoscope,구내경
gantry,구대
muckworm,구더기
discontinue,구독을 그만 두다
punctuation,구두
bootlace,구두끈
shoelace,구두끈
shoestring,구두끈
shoeblack,구두닦이
verbally,구두로
vocally,구두로
cheapskate,구두쇠
miser,구두쇠
tightwad,구두쇠
cordwainer,구둣방
shoebrush,구둣솔
shoehorn,구둣주걱
stayathome,구들직장
gourami,구라미등목어과의 동남아시아산 식용 , 관상용 담수어
sorrel,구렁 말
bayard,구렁말
burnsides,구레나룻
whiskers,구레나룻
whiskered,구레나룻 있는
bewhiskered,구레나룻을 기른
phrasal,구로 된
antirachitic,구류병 치료의
roundhouse,구류소
pound,구류하다
rolling,구르기
volubility,구르기 쉬움
gourde,구르드화폐 단위
gurkha,구르카 사람
phraseogram,구를 나타내는 기호
cloudland,구름 경치
clouded,구름 모양의
nubiform,구름 모양의
nephoscope,구름 방향제
sunburst,구름 사이로 갑자기 새어 비치는 햇살
cloudscape,구름경치
clouding,구름모양의 무늬
cloudiness,구름무늬
innubibus,구름속의
encloud,구름으로 싸다
cloudless,구름이 없는
nephology,구름학
misbrand,구릇된 상표 를 붙이다
swell,구릉
hilliness,구릉성
coppery,구리같은
cupreous,구리같은
sniffy,구린
chondrite,구립운석
gummite,구마이트
buying,구매
purchaser,구매자
sniggle,구멍 낚시
dibble,구멍 파는 기구
eyeless,구멍없는
pegboard,구멍에 나무못을 꽂는 놀이판
poke,구멍을  찔러서 뚫다
scuttle,구멍을 내어 침몰시키다
bilge,구멍을 뚫다-구멍이 뚫리다
prick,구멍을 뚬하다
holeproof,구멍이 나지 않는
spongy,구멍이 많은
poriferous,구멍이 있는
honeycombed,구멍투성이가 된
honeycomb,구멍투성이로 만들다
holey,구멍투성이의
sphericity,구면
spherometer,구면계
dumbo,구명기
whaleboat,구명보트
lifeboat,구명정
spheric,구모양의
syntactics,구문론
syntax,구문론
twicetold,구문의
glaze,구물
euramerican,구미의
occidentalize,구미화하다
smoothness,구변 좋음
fairspoken,구변이 좋은
golenmouthed,구변이 좋은
undistinguished,구별되지 않는
discriminative,구별을 나타내는
samey,구별이이 안되는
graphy,구별적 발음 부호 대용문자
diacritic,구별하는
distinctively,구별하여
indistinguishable,구별할 수 없는
undistinguishable,구별할 수 없는
crooked,구부러져서
yielding,구부러지기 쉬운
crook,구부러지다
winding,구부러짐
bender,구부리는 사람
buckle,구부리다
warp,구부리다
bendable,구부릴 수 있는
slouch,구부정하게 서다
contortive,구분선
dividing,구분적인
breakpoint,구분점
delimiter,구분짖는 기호
distributable,구분할 수 있는
vermigrade,구불구불 전진하는
mazily,구불구불하여
paperwork,구비
beadhouse,구비원
poorhouse,구빈원
embodiment,구상
globular,구상
spherical,구상
unciform,구상골
representational,구상적인
representationalism,구상주의
visualization,구상화
assortment,구색
nook,구석구석진 곳
paleolith,구석기
paleolithic,구석기 시대의
azilian,구석기시대와 신석기시대의 중간
coign,구석돌
cornered,구석에 몰린
nooky,구석이 많은 구석같은
nookie,구석이 많은 구석같은
sequestered,구석지다
recluse,구석지다
disparaging,구설
slandering,구설
constitutive,구성분
member,구성원
nee,구성은
constructionism,구성주의
constructivism,구성주의
oldworld,구세계의
salvationist,구세군 군인
messianic,구세주 예수 그리스도의구세주적인
unrestraint,구속 없음
capias,구속 영장
cramp,구속물
unconstrained,구속받지 않은
unconstraint,구속받지 않음
unbridle,구속에서 풀다
unbridled,구속이 없는
attanhable,구속할 수 있는
dictabelt,구술 녹음기용 녹음 벨트
nuncupate,구술하다
cush,구스
gem,구슬
jewel,구슬
bulblet,구슬눈
beading,구슬선
beadwork,구슬선
fogism,구습의 고수
boneshaker,구식 자전거
retornado,구식민지에서 돌아온 포루투갈 사람
dodo,구식사람
oldtimer,구식사람
obsolete,구식의
oldfashioned,구식의
outmoded,구식의
jalopy,구식의 낡은 자동차
hooker,구식의 볼품없는 배
victorian,구식인
obsolescence,구식화
chicanery,구실
pretext,구실
centripetal,구심력에 의해서
centrality,구심성
syrinx,구씨관
eurasia,구아
guano,구아노
guanosine,구아노신
gtd,구아노신 3인산
guanethidine,구아니딘
guanine,구아닌
courting,구애
courtship,구애
wooing,구애
heptateuch,구약 성서의 처음 7서
octateuch,구약 성서의 최초의 8서
pentateuch,구약의 첫 5권
anarthria,구어 장애
colloquial,구어의
nausea,구역질
vomiting,구역질
nauseate,구역질나다
citrate,구연산염
citric,구연성
enarthrosis,구와관절
regnal,구왕 치하의
firing,구워 만들기
anneal,구워넣다
broiling,구워지는
redemption,구원
sos,구원요청
sempiternal,구원의
crib,구유
manger,구유
trough,구유
cribbite,구유를 물어뜯다
arresting,구인
riskfree,구입자에게 손해가 안되는
betel,구장
groundman,구장 관리인
rectification,구장법
muzzleloader,구장총
integrator,구적기
quadrature,구적법
stereometry,구적법
phrasing,구절법
pausal,구절을 끊는
salvation,구제
insecticide,구제
incurable,구제 불능자
ancienregime,구제도
expellant,구제력있는
redemptive,구제의
rescueing,구제의
reliever,구제자
redeem,구제하다
condemned,구제할 길 없는
remediable,구제할 수 있는
retrievable,구제할 수 있는
salvable,구제할 수 있는
surfman,구조 대원
metamerism,구조 이성
salvage,구조 화물
schematically,구조도로
fabrication,구조물
constitutionally,구조상
metameric,구조이성의
rescuer,구조자
saver,구조자
structuralism,구조주의
structuralist,구조주의 비평가
structurism,구조주의를 중시하는 미술
tectonics,구조지질학
ninepin,구주회
skittles,구주회
cachou,구중향정
papula,구진
jobathon,구진 프로
papulose,구진의
concreteness,구체
materiality,구체성
incarnation,구체화
incarnate,구체화하다
extrusion,구축
extrication,구출
insectifuge,구충제
parasiticide,구충제
vermifuge,구충제
helminthic,구충하는
halitosis,구취
grinder,구치
drubbing,구타
shellacking,구타
guttapercha,구타페르카
antiemetic,구토 방지제
vomitory,구토증을 나게 하는
barocyclonometer,구풍계
carminative,구풍제
exoneration,구하기
asker,구하는 사람
unsought,구하지않는
savable,구할 수 있는
extricate,구해내다
nucleophile,구핵원자
faucal,구협의
globosity,구형
rotundity,구형
bathysphere,구형 잠수기
saccule,구형낭
glomeration,구형으로 감기
ensphere,구형으로 하다
globulaity,구형을 이루고 있음
spheroid,구형체
unwooed,구혼받지 않은
admirer,구혼자
beau,구혼자
partition,구획
compartmentalize,구획하다
almoner,구휼품분배관
almonry,구휼품분배소
coastguardsman,국가 해상 보안대원
nationalism,국가독립주의
nationalist,국가주의자
marchland,국경 지대
limitrophe,국경의
borderer,국경의 주민
borderland,국경중간지대
exchequer,국고
treasury,국고
fiscal,국고의
dissent,국교 반대
nonconformity,국교 불신봉
nonconforming,국교를 신봉하지 않은
conform,국교를 준봉하다
nonconformance,국교불신봉
disestablishmentarian,국교제도 폐지론의
disestablish,국교제를 폐지하다
bepraise,국구 칭찬하다
inland,국내로
internally,국내에서
cabotage,국내운항
inmigrant,국내이주자
domsat,국내통신 위성
nisi,국립 과학 수사 연구소
ncmi,국립 국악원
nhc,국립 보건원
nstl,국립 우주 기술연구소
nmc,국립 의료원
niosh,국립 직업 안전건강 연구소에 속하는 연구기관
enarchist,국립 행정 학원출신의 고급 공무원
nih,국립보건원
medibank,국민 건강 보험
nia,국민 보험법
civics,국민 윤리과
medicare,국민 의료 보장
gnd,국민 총수요
gne,국민 총지출
plebiscite,국민 투표
elhi,국민 학교에서 고등 학교까지의
landsturm,국민군
verkrampte,국민당 우파
verlighte,국민당 좌파
militiaman,국민병
nnw,국민복지 지표
nationality,국민성
nationalize,국민으로국가로
ise,국민으로국가로
nationhood,국민임
referendary,국민투표의
nationalization,국민화
fencible,국방병
dod,국방성
dialing,국번
bycountry,국별의
paresis,국부 마비
paretic,국부 마비의
jockstrap,국부 서포터
suboptimization,국부적 최적화
treasonable,국사범의
ammonite,국석
snakeroot,국석
census,국세조사
intercensal,국세조사와 국세조사 사이의
toponymy,국소 명명법
ischemia,국소 빈혈
topographical,국소 해부의
sinarquist,국수당 당원
fascist,국수주의자
nationalistic,국수주의적
purism,국어 순정주의. . puristic a
staterun,국영의
kingmaker,국왕 옹립자
kinglike,국왕다운
regicide,국왕살해
kingless,국왕이 없는
loyalist,국왕지지자
xenocurrency,국외 유통 통화
refusenik,국외 이주가 허가되지 않은 유대인
expatriation,국외 추방
yordim,국외로 이주하는 이스라엘 시민
neutrality,국외중립 정책
expellee,국외추방자
dipper,국자
ladle,국자
scoop,국자
internationalist,국제 경기 출전자
irsg,국제 고무 연구회
comintern,국제 공산당
internationalism,국제 공산주의
internationalize,국제 관리하에 두다
mayday,국제 구조 신호
ipy,국제 극년
iac,국제 기능 올림픽
ilzsg,국제 남아연연구회
iftu,국제 노동 조합연합회
ilo,국제 노동기구
ifad,국제 농업 개발 기금
isd,국제 다이얼 통화
iu,국제 단위
fisu,국제 대학 스포츠 연맹
cosmopolis,국제 도시
idls,국제 디지털 전용회선
icac,국제 목화자문 위원회
itf,국제 무역 견본시
itc,국제 무역위원회
cito,국제 무역현장
fetial,국제 문제를 다루는
icao,국제 민간 항공 기구
riia,국제 사정 연구회
icc,국제 상공회의소
isa,국제 설탕협정
iwc,국제 소맥 이사회
fis,국제 스키 연맹
fiej,국제 신문 발행인 협회
ipi,국제 신문편집자 협회
fiba,국제 아마추어 농구 연맹
fina,국제 아마추어 수영 연맹
unrwa,국제 연합 구제 사업국
unef,국제 연합 긴급군
cospar,국제 우주 공간 연구 위원회
ipa,국제 음성학협회
fia,국제 자동차 연맹
iddd,국제 장거리 자동 전화
iydp,국제 장애자의 해198
icrc,국제 적십자 위원회
itu,국제 전기 통신동맹
iltf,국제 정구 연맹
superstate,국제 정치 기구
ifrb,국제 주파수 등록 위원회
imf,국제 통화 기금
iwa,국제 포경 협정
isbn,국제 표준 도서 번호
iso,국제 표준화기구
iata,국제 항공 수송협회
fai,국제 항공 연맹
inmarsat,국제 해사 위성 기구
interpol,국제 형사 경찰 기구
internationally,국제간에
ib,국제공통 대학 입학 자격 제도
icrp,국제방사선 방어 위원회
grotius,국제법의 시조
olympiad,국제올림픽대회
ipu,국제의원 연맹
cosmopolite,국제인
icftu,국제자유 노동 조합연맹
gyro,국제적 봉사단체 의 회원
internationality,국제적임
ica,국제협력국
ultraleft,국좌의
fundholder,국채 투자자
localization,국한
chrysanthemum,국화
congress,국회 회기
parliamentarism,국회법 학자
capitol,국회의사당
borough,국회의원선거구
mister,군
senor,군
undersheriff,군 보안관 대리
paramilitary,군 보조의
mats,군 항공 수송부
gregariness,군거성
gregarious,군거성의
gregarly,군거하여
overcare,군걱정
worrywart,군걱정이 많은 사람
civilianize,군관리로부터 민간 관리로 옮기다
township,군구
militarism,군국주의
militarization,군국주의 고취
militaristic,군국주의의
militarist,군국주의자
prussianize,군국주의화하다
militarize,군국화하다
secrets,군기
colours,군기
jankers,군기 위반자
undisciplined,군기가 없는
vexillary,군기의
sanjak,군내의 행정 구획
corps,군단
legion,군단
soldiering,군대 복무
trooper,군대 수송선
maneuver,군대를 움직이다
debuchment,군대의 진출
archipelago,군도
dominion,군림
charger,군마
courser,군마
warhorse,군마
complaining,군말
verbiage,군말이 많음
byblow,군매
sn,군번
gunsan,군산
flab,군살
tufted,군생하고 있는
jaw,군소리하다
eparch,군수
storeship,군수물자 수송선
munition,군수품
ordnance,군수품
militaria,군수품 수집물
arsenal,군수품 창고
exservice,군에서 불하된
warbird,군용 비행기
baggage,군용 행낭
warplane,군용기
camion,군용트럭
soldierly,군인 다운
stratocracy,군인 정치
disband,군인을 제대시키다
leafraking,군일
holierthanthou,군자연하는
czar,군주
monarch,군주
monarchy,군주 정치
antimonarchist,군주 정치 반대자
antimonarchical,군주 정치를 반대하는
monarchal,군주다운
monarchic,군주의
lordship,군주임
monarchism,군주주의
horde,군중
throng,군중
rhubarbing,군중으로서 왁자지껄 떠드는
congregate,군집하다
lapis,군청
courthouse,군청 청사
ccd,군축위원회
drivel,군침
slobbery,군침으로 젖은
beslaver,군침투성이가되게하다
dewlap,군턱
jowly,군턱의
warship,군함
countersign,군호
unsweetened,굳고
greaves,굳기름 찌끼
inexhaustibility,굳셈
confirmed,굳어버린
crusty,굳어져
callous,굳어진
curd,굳어진 식품
crud,굳어진 침전물
unset,굳지 않은
oyster,굴
oysterwoman,굴 따는여자
oystering,굴 채취업
phototropism,굴광성
flexor,굴근
oystershell,굴껍질
underslung,굴대 밑에 테가 있는
rundle,굴대로 회전하는 것
axile,굴대에 있는
axial,굴대의
steamer,굴뚝
troglodyte,굴뚝새
wren,굴뚝새
cord,굴레
headstall,굴레 장식 띠
halterbreak,굴레에 길들게 하다
rheotropism,굴류성
drail,굴림낚시
roller,굴림대
bower,굴복자
succumb,굴복하다
indomitable,굴복하지 않는
refraction,굴사
refractional,굴사의
hydrotropism,굴수성
hydrotrope,굴수성 유발물질
hydrotropic,굴수성의
unearth,굴에서 몰아내다
unkennel,굴에서 몰아내다
thermotropism,굴열성
humiliation,굴욕
takedown,굴욕
mortify,굴욕을 느끼게 하다
humiliating,굴욕적인
fossorial,굴을 파기에 알맞은
burrow,굴을파다
cultch,굴의 알
culch,굴의 알
heliotropic,굴일성의
inflection,굴절
bending,굴절
refractometer,굴절계
refractor,굴절렌즈
refractive,굴절력을 가지는
anaclastic,굴절성
reverberate,굴절시키다
infectionless,굴절이 없는
irrefrangible,굴절하지 않는
truckle,굴종하다
geotropic,굴지성
geotropism,굴지성
excavator,굴착자
persevere,굴치 않고 계속하다
trumpery,굴퉁이
unyielding,굴하지않는
chemotropism,굴화성
thickening,굵게된 부분
thckness,굵기
starved,굶어 죽는
starveling,굶주려서 야윈
famish,굶주리게하다
starvation,굶주림
snail,굼뱅이
hoof,굽
heelpiece,굽 가죽
highheeled,굽 높은
stemware,굽 달린 유리 잔류
compote,굽 달린 접시
heeler,굽갈이하는 사람
baking,굽기
roasting,굽기
roaster,굽는 사람
skew,굽다
beaker,굽달린 큰 잔
baseboard,굽돌이 널
cower,굽실거리다
crouch,굽실거리다
cringe,굽실거림
slimy,굽실굽실하는
unbowed,굽어 있지 않은
bowed,굽은
rocker,굽은 막대
incurvation,굽음
sinuosity,굽이
ambagious,굽이굽이 돈
meanderingly,굽이쳐서
flexuose,굽이치는
flexuous,굽이치는
gyrose,굽이치는
undulate,굽이치다
unbend,굽지않은
ironbound,굽혀지지 않는
pliers,굽히는 사람
unrelenting,굽힐줄모르는
butler,궁내성 주류 관리자
ladyinwaiting,궁녀
napu,궁노루자비 , 수마트라산
arse,궁둥이
fanny,궁둥이
devisable,궁래해 낼 수 있는
groining,궁륭
incubate,궁리
thinkingly,궁리 끝에
archery,궁술
toxophilite,궁술 애호가
toxophily,궁술 연구
archer,궁술가
palais,궁전
seraglio,궁정
aulic,궁정의
mire,궁지
quagmire,궁지
neediness,궁핍
straiten,궁핍하게 하다
distressed,궁핍한
necessitous,궁핍한
arch,궁형
arching,궁형부
rotten,궂다
tropopause,권계면
exhortation,권고
hortative,권고의
recommendatory,권고의
exhortative,권고적인
exhort,권고하다
unadvisable,권고할 수 없는
cirque,권곡
charisma,권능
hooped,권대를 감은
frontispiece,권두 삽화
powermonger,권력 투쟁가
isoracy,권력 평등주의
domineer,권력을 휘두르다
revest,권리를 다시 얻게하다
quitclaim,권리를 포기하다
nonuser,권리불행사
obligee,권리자
isonomy,권리평등
remise,권리포기
endnote,권말에 있는 주
machiavelian,권모 정치를 예사로 하는
tufthunter,권문에 아첨하는 사람
melodrama,권선징악의 통속극
tendril,권수
cirrus,권운
cirrous,권운모양의
authoritarianism,권위주의
authoritarian,권위주의자
authoritarianistic,권위주의적
canvassing,권유
volumed,권으로 된
cirrocumulus,권적운
cathedra,권좌
handgun,권총
pistol,권총
gatup,권총 강도
rodman,권총 강도
gunslinger,권총을 가진
triggerhappy,권총을 쏘고 싶어하는
cirrostratus,권층운
stratocirrus,권층운
boredom,권태
lassitude,권태
tedium,권태
weariness,권태
mitten,권투 글러브
bruiser,권투가
boxer,권투선수
fighter,권투선수
mauler,권투선수
truncheon,권표
bloc,권한
advisability,권할 만함
inadvisable,권할 수 없는
avatar,권화
impersonation,권화
trajectory,궤도
railhead,궤도머리
railcar,궤도차
crushing,궤멸적인
choplogic,궤변
sophism,궤변
sophistry,궤변
sophister,궤변가
sophist,궤변가
sophisticate,궤변부리다
chicane,궤변으로 둘러대다
pettigogging,궤변으로 살아가는
sophistication,궤변을 부림
elenctic,궤변의
sophistic,궤변적인
sophistical,궤변적인
jesuitic,궤변적인
jesuitism,궤변적인
sophismist,궤변학자
ulcer,궤양
ulceration,궤양
ulcerogenic,궤양 유발의
ulcerous,궤양성의
ulceratious,궤양에 걸린
ulcerative,궤양의
ulcerate,궤양이 생기게 하다
skedaddle,궤주하다
gwnet,궤트영국 웨일스 남동부의주
auriform,귀 모양의
parotic,귀 부근의
fennec,귀가 긴 여우의 일종
eared,귀가 달린
sharpeared,귀가 밝은
stonedeaf,귀가 적별인
prickeared,귀가 쫑긋 선
flopeared,귀가 축 늘어진
chrysolite,귀감람석
turtleback,귀갑
testudinate,귀갑모양의
testudinalp,귀갑의
apodosis,귀결절
childe,귀공자
junker,귀공자
blighter,귀국 휴가
remigrant,귀국자
repatriate,귀국자
polarization,귀극
induction,귀납
recursion,귀납
inducible,귀납할수 있는
gwynedd,귀네드영국 웨일스 북서부의 주
earflap,귀덮개
headstone,귀돌
quoin,귀돌
benjamin,귀동이
balanitis,귀두염
cricket,귀뚜라미
grig,귀뚜라미
chirr,귀뚤귀뚤
griffin,귀뜀
backhaul,귀로
homeward,귀로의
arrect,귀를 기울이고 있는
hearken,귀를 기울이다
deafness,귀를 기울이지 않음
grillage,귀를 지정
earplug,귀마개
deaf,귀머거리의
deafen,귀먹게 하다
quickeared,귀밝은
ladiry,귀부인 대우를 하다
ladyhood,귀부인들
gentlewoman,귀부인의 시녀
hammerhead,귀상어
almandine,귀석류석
mothering,귀성
homing,귀성소의
relegation,귀속
escheat,귀속시키다
ascription,귀속시킴
vested,귀속이 정해진
demonize,귀신 붙게 하다
bedevil,귀신들리게 하다
energumen,귀신들린사람
talismanic,귀신을 쫓는
spookish,귀신이 나오는
earmuffs,귀싸개
earache,귀앓이
earless,귀없는
jaring,귀에 거슬리는
rasping,귀에 거슬리는
raucous,귀에 거슬리는
unmelodious,귀에 거슬리는
cerumen,귀에지
earwax,귀에지
adorable,귀여운
cutie,귀여운처녀
prettiness,귀여움
caressing,귀여워하는
fondling,귀여워하는 아기
fondly,귀여워해서
nursling,귀염둥이
amiable,귀염성 있는
prepossessing,귀염성 있는
unlovable,귀엽지 않은
unlovely,귀엽지 않은
tattoo,귀영 나팔
curfew,귀영 시간
audiolingual,귀와 입을 사용하는
tinnitus,귀울음
auditory,귀의
devotee,귀의자
earpick,귀이개
wizard,귀재
aristocrat,귀족
nobleman,귀족
patriciate,귀족 계급
peerage,귀족 계급
peeress,귀족 부인
aristocracy,귀족 정치
blueblooded,귀족 출신의
lordly,귀족다운
silkstocking,귀족스러운
aristocratic,귀족의
equerry,귀족의 말 광ㄴ리인
noblewoman,귀족의 여성
aristocratism,귀족적 기풍
patrician,귀족적인
periotic,귀주위의
richness,귀중
vault,귀중품 보관실
coffer,귀중품 상자
strongroom,귀중품실
chivvy,귀찮게 괴롭히다
argufy,귀찮게 논쟁하다
dangler,귀찮게 따라다니는 사람
blatter,귀찮게 발리 지껄여대다
botheration,귀찮다!
knotted,귀찮아!
sluggardly,귀찮아하는
bothersome,귀찮은
nettlesome,귀찮은
pesky,귀찮은
tiresome,귀찮은
balas,귀첨정색의 일종
eardrum,귀청
slickear,귀표가 없는 가축
esquire,귀하
monsieur,귀하
homewardbound,귀항중의
resail,귀항하다
naturalization,귀화
denizen,귀화인
repatriation,귀환
returnee,귀환자
earhole,귓구멍
lughole,귓구멍
lobation,귓볼
earlobe,귓불
auricular,귓속말의
sedum,귓의비름속
regimentation,규격화
husbandry,규모 없는 살림살이
escalatory,규모 확대에 연계되는
downscale,규모를 축소하다
gynaeceum,규방
prescriptivism,규범주의
willemite,규산아연광
silicate,규산염
buhrstone,규석
sillimanite,규선석
silica,규소
silicon,규소
ferrosilicon,규소철
quartzite,규암
methodical,규율바르다
unpunctual,규율적이 아닌
felsite,규장석
controls,규제
regulations,규제
diatom,규조
diatomaceous,규조류의
kieselguhr,규조토
argillite,규질 점토암
rulable,규칙상 허용되는
rulebook,규칙서
goasyouplease,규칙에 얽매이지 않는
scofflaw,규칙위반자
deregulate,규칙을 폐지하다
ruleless,규칙이 없는
rhythmic,규칙적으로 순환하는
regularization,규칙적으로 함
ninetofive,규칙적인 작업을 하다
ninetofiver,규칙적인일
regularity,규칙적임
thorite,규토륨광
silliceous,규토의
silieic,규토의규산
silicotic,규페증의
silicosis,규폐증
silicification,규화
sinter,규화
silicide,규화물
silicify,규화하다
fungus,균
isometry,균등
equability,균등성
equable,균등한
equalization,균등화
fungology,균류학
hypha,균사
mycelium,균사
fungiform,균상의
fungoid,균상종
fungous,균상종의
counterpoise,균세
equalizer,균압선
sterile,균없는
germicidal,균을 죽이는
aseptic,균이없는
uniformitarian,균일론자
uniformitarianism,균일설
proportionment,균정
homogenize,균질화하다
volva,균포
mycology,균학
mycologist,균학자
bacteremia,균혈증
trimming,균형 잡기
proportionably,균형 잡히게
equilibrator,균형을 유지시키는 것
balancer,균형을 유지하는 사람
offcenter,균형을 잃어
tradeoff,균형을 취하는 일
onesided,균형이 맞지않는
dissymmetrical,균형이 안 잡힌
symmetrically,균형이 잡혀
rambling,균형이 잡혀지지 않은
librate,균형이 잡히다
unproportionate,균형이 잡히지 않는
unsymmetrical,균형이 잡히지 않은
propertioned,균형이 잡힌
proportionate,균형이 잡힌
symmetric,균형잡힌
citriculture,귤 재배
tangerine,귤의 일종
nahal,그개척지
wherethrough,그것 때문에
therewith,그것과 함께
therewithal,그것과 함께
tereamong,그것들 사이에서
selfcontained,그것만으로 완비된
whereto,그것에
whereof,그것에 관하여
thereof,그것에 관해서
tereanent,그것에 대해서
henbattery,그것에서 뽑은 독
fustic,그것에서 뽑은 황색 염료
wherewith,그것으로
coonskin,그것으로 만든 모자
moleskin,그것으로 만든 바지
nankeen,그것으로 만든 바지
scuppernong,그것으로 만든 백포도주
zinfandel,그것으로 만든 붉은 포도주
paduasoy,그것으로 만든 옷
petersham,그것으로 만든 외투
fearnought,그것으로 만든 웃옷
fearnaught,그것으로 만든 웃옷
sealskin,그것으로 만든 의복
chili,그것으로 만든 향신료
peyote,그것으로 만든 환각제
snood,그것으로 묶다
thereout,그것으로부터
paella,그것을 만드는 큰 냄비
archil,그것을 채취하는 이끼류
tenancy,그기간
anyhows,그나저나
handtomouth,그날 그날 살아가는
nightcap,그날의 마지막 시합
gnosticize,그노시스주의적 입장을 취하다
shading,그늘 지게 하기
umbriferous,그늘 짓는
umbrageous,그늘을 만드는
shady,그늘의
shadily,그늘이 되어
shadeless,그늘이 없는
adumbrate,그늘지게 하다
unshadowed,그늘지지 않은
adumbral,그늘진
shadiness,그늘짐
copycat,그대로 베끼는 아이
interse,그들끼리만
their,그들의 것
strophe,그때 노래하는 가장
thruput,그때그때의 상황
been,그때까지 이었다
inline,그때마다 즉시 처리하는
thence,그때부터
그래,그라
granada,그라나다
granola,그라놀라
gravenstein,그라벤슈타인종의 사과
graves,그라부산
photoionization,그라비어 사진
heliogravure,그라비어 인쇄
growler,그라울러
graeae,그라이아이를 지키는 3자매
grabchus,그라쿠스
gratin,그라탱
granturismo,그란투리스모
grappa,그랍파
gee,그래
yeppers,그래
quotha,그래 참!
grammy,그래미상
graviton,그래비톤
grasstex,그래스텍스테니스 코트 표면재의 일종
graphoscope,그래포스코프
graph,그래프
graphicacy,그래픽 아트의 재능
graphicate,그래픽 아트의 재능이 있는
grammolecule,그램 분자
grammolecular,그램 분자의
grampositive,그램 양성의
gramnegative,그램 음성의
gramcentimeter,그램센티미터
grammer,그램인 사람
grenadan,그러네이다 사람
grenada,그러네이다서인도제도 동부의 독립국
whiles,그러는 동안에
scramble,그러모으다
snippy,그러모은
waif,그러모은 것
whereat,그러자
soso,그럭저럭
cornucopia,그런 모양의 장식
campy,그런 몸짓을 하는 사람
bighead,그런 사람
ergo,그런고로
which,그런데 그
notwithstanding,그런데도 불구하고
glossily,그럴듯하게
gloze,그럴듯하게 설명하다
rationalize,그럴듯하게 설명하다
implausible,그럴듯하지 않은
speciosity,그럴듯함
however,그럴지라도
cheerio,그럼 또 만나요
thereagainst,그렇기는 커녕 오히려
말하다,그렇다
else,그렇지않으면
eh,그렇지요?
gregorian,그레고리안성가
gregory,그레고리오
gresham,그레셤
greige,그레이지색의
grapefruit,그레이프프루츠
greyhound,그레이하운드
grecoroman,그레코로만형
grendel,그렌델
grosgrain,그로그레인
groggy,그로기가 된
gromyko,그로미코
groschen,그로셴 소은화
grolier,그롤리어식  장정의
aftercrop,그루갈이
georgia,그루지야
intergroup,그룹사이의
gruyere,그뤼에르 치즈
grenoble,그르노블
mull,그르치다
him,그를
drainboard,그릇 건조대
mislead,그릇 인도하다
misreport,그릇 전하다
misdirect,그릇 지시하다
misjudge,그릇 판단하다
misinterpret,그릇 해석하다
misread,그릇 해석하다
fiefie,그릇된
cacoepy,그릇된 발음
misorient,그릇된 방향으로 돌리다
misbelief,그릇된 신념
disinformation,그릇된 정보
misguidance,그릇된 지도
mismanagement,그릇된 처리
misadvise,그릇된 충고를 하다
doylies,그릇받침
misconstrue,그릇읽다
spence,그릇장
burr,그릉그릉하다
gct,그리니치 상용 시간
crucifix,그리수도 수난상
greece,그리스
peloponnesus,그리스 남부의 반도
parnassus,그리스 남부의 산
acheron,그리스 로마 신화의 아케론강
hellenize,그리스 말을 사용하다
omicron,그리스 알파벳의 15째 글자
pi,그리스 알파벳의 16째 글자
omega,그리스 알파벳의 끝글자
philhellenci,그리스 애호자
grecism,그리스 어법
graecism,그리스 어법
grecize,그리스 어법등을 좇다
graecize,그리스 어법등을 좇다
nipple,그리스 주입구
aristophanes,그리스 희극 작가
psilanthropy,그리스도 인성론
christological,그리스도론의
christhood,그리스도임
circumcision,그리스도할례제
flokati,그리스산 수직 양탄자
pediment,그리스식 건축의
grecian,그리스식의
atalanta,그리스신화에서 걸음이 빠른미녀
argonaut,그리스신화의 아르고선 승무원
nu,그리스어 알파벳의 13째글자
xi,그리스어 알파벳의 14번째 글자
tau,그리스어 알파벳의 19번째글짜
upsilon,그리스어 알파벳의 20번째 글자
phi,그리스어 알파벳의 21번째 글자
delta,그리스어 알파벳의 넷째글자
