academic,대학의
villanelle,19행 2운체의 시
monovalent,1가의
monolingual,1개 국어를 사용하는
firststring,1급의
yearly,1년간의
yearlong,1년동안 계속된
yearling,1년된
biannual,1년에 두 번의
annual,1년의
biyearly,1년의 2번의
midyear,1년의 중간 쯤
yearround,1년중 계속되는
dozen,1다스, 12개, 다수
dib,1달러
frogskin,1달러 지폐
oneoff,1대 1의
onetoone,1대1의
cariole,1두 소형마차
clinker,1등품
lat,1라트 은화
millirem,1렘의 천분의 1
miler,1마일 경주 선수
myriagram,1만 그램
myrialiter,1만 리터
submillimeter,1밀리미터 이하의
halfboard,1박 2식9제공
demipension,1박 2식제
bonk,1발
trigamy,1부 3처
oneminute,1분 담화
first-generation,1세대의, 초대의
sentimo,1센티모 동전
horary,1시간 마다의
shilling,1실링 은화
anker,1앙커 들이 통
centimillionaire,1억 달러 이상의 부자
monobasic,1염기의
January,1월
epact,1월1일의 월령
bicron,1의 10억 분의
belize,1의 옛 수도
monodrama,1인극
opm,1인당 생산량
personyear,1인당 수명을 계산하는 단위년
serving,1인분
singleservice,1인분의
sulky,1인승 2륜 경마차
palanquin,1인승 가마
oneseater,1인승의 자동차
mil,1인치의 천분의 1
quoth,1인칭
smokeproof,1일 금연
adi,1일 허용 섭취량
virelay,1절 2운체의 단시
contraoctave,1점음옥타브
trillion,1조의
triweekly,1주 3회
sennight,1주간
weeklong,1주일에 걸친
unary,1진법의
phosgene,1차 대전때 사용된 독가스
onedimensional,1차원의
unidimensional,1차원의
quid,1파운드 금화
oncer,1파운드 지폐
pint,1파인트들이 그릇
pennyworth,1페니어치
pagination,1페이지 수
pennyhalfpenny,1펜스 반
threehalfpence,1펜스 반
forint,1포린트 화폐
franc,1프랑화폐
footcandle,1피트 촉광
trimester,1학기
doolie,1학년생
slug,1행
chukker,1회
onceoff,1회 뿐인
oneshot,1회 뿐인
churning,1회 제조분의 버터
installment,1회분
gyle,1회분의 맥주 양조량
syringeful,1회의 주사량
lain,2 과거분사
biennial,2 년간의
sophomore,2 년생
hypermeter,2 또는 3행으로 된 피리어드
magnum,2 쿼트 들이의 큰 술병
optime,2.3급 합격자
bicentennial,200 년제의
vicennial,20년마다의
icosahedron,20면체
twentieth,20분의 1
vigesimal,20으로 된
twentyone,21명의
geordie,21실링의 금액
smallbore,22구경의
aroundtheclock,24 시간 꼬박의
trisoctahedron,24면체
circalunadian,24시간 50분 간격의
circadian,24시간 주기의
twobit,25센트의
twentyfive,25야드선
vanadous,2가 또는 3가의 바나듐을 함유하는
bivalent,2가 염색체의
duad,2가 원소
dyad,2가 원소
dyadic,2가 원소의
diatomic,2가의
nickelous,2가의 니켈을 함유하는
selenious,2가의 셀렌을 함유하는
biangular,2각의
bilingualism,2개 국어 상용
diglot,2개 국어로 쓰인
bimester,2개월간
bimestrial,2개월간의
binal,2개의 고음부를 가진
bizonal,2국 공동 통치 지구의
bistate,2국의
yannigan,2군 선수
dipole,2극 안테나
diode,2극 진공관
bipolarity,2극성
dipolar,2극성의
bipolar,2극이있는
biennium,2년간
sophomoric,2년생의
mansard,2단 경사 지붕
twospeed,2단 변속의
bireme,2단식 노의 갤리선
peelopen,2단식봉합법
bunkbed,2단침대
twospot,2달러
biparty,2대 정당의
doubleripper,2대의 연결 썰매
bisect,2등분 하다
bisection,2등분선
bisector,2등분선
secondclass,2등의
secondrate,2등품
minor,2류의
secondrater,2류의 사람
cart,2륜 경마차
chaise,2륜 경마차
croydon,2륜 마차의 일종
curricle,2륜 쌍두 마차
chariot,2륜 전차
calash,2륜 포장마차
carromata,2륜 포장마차
dogcart,2륜마차의 일종
deuxchevaux,2마력
binocularity,2명법
doubleteam,2명이 1명의 상대방 선수를 동시에 방해하다
twostep,2박자의 원무
biunique,2방향 유일성의
bi,2배
doubly,두 배로, 더욱, 훨씬
duplex,2배의
doubleness,2배크기
midiron,2번 아이언
secondarily,2번째로
dichromatism,2변색성
bipartite,2부로된
twopart,2부의
dichotomy,2분법
dichotomous,2분법의
bimolecular,2분자의
dichotomize,2분하다
twocycle,2사이클의
quarterphase,2상의
twophase,2상의
drotone,2색 그림
ticking,2색 이상의 줄무늬
dichroism,2색성
bichrome,2색의
secondgeneration,2세의
double-barreled,두 갈래의; 2연발의
doublebarrel,2연발총
bofors,2연장 자동 고사포
bifarious,2열의
bibasic,2염기성의
breve,2온음표
deuceace,2와1
triolet,2운각 8행의 시
bissextus,2월 29일
dissyllable,2음절어
dissyllabic,2음절의
disyllabic,2음절의
idp,2인산 이노신
boblet,2인승
twoseater,2인승 비행기
tandem,2인승 자전거
teteatete,2인용 의자
doublebedded,2인용 침대가 있는
twohanded,2인용의
duo,2인조
tenace,2장의 끗수 높은 패를 맞추기
deuce,2점
fourbagger,2조의 페어로 하는 시합
amphistylar,2주식의
fortnightly,2주일 마다
twodecker,2중 갑판의
diphthong,2중 모음
failsafe,2중 안전 장치
jekyllandhyde,2중 인격적인
superimpose,2중 인화 하다
doubledecker,2중갑판의 배
diphthongal,2중모음의
diphthongize,2중모음화하다
bicentric,2중심의
doubly,두 배로, 더욱, 훨씬
diploid,2중의
duet,2중주곡
bipack,2중천연색필름
diazo,2질소의
conicoid,2차 곡면
secondsourcing,2차 공급자의
quadratic,2차 방정식
equational,2차 세포 분열의
sublanguage,2차 언어
subculture,2차배양
twodimensional,2차원의
subgrade,2차적 등급
rebranch,2차적으로 분기하다
collateral,2차적인
bimillenary,2천년
biaxial,2축의
twinscrew,2축의
edb,2취화에틸렌
onepair,2층방
doublespread,2페이지 크기의 광고
twopence,2펜스
junior,2학년
underclassman,2학년생
couplet,2행 연구
twostroke,2행정 사이클의
doublestop,2현을 동시에 누르고 켜다
salyut,2호197
disulfide,2황화물
bis,2회
asterism,3 별표
threepercent,3%의
threequarter,3/43/4 가죽 장정
tercentenary,300년
halfhour,30분
trental,30일 간의 미사
demisemiquaver,32분 음표
thirtytwomo,32절판
thirtythree,33회전반
trivalence,3가
titanous,3가 티탄의
tervalent,3가의
trivalent,3가의
chromic,3가의 크롬을 함유하는
pendentive,3각 궁륭
triangulate,3각 무늬가 있는
triangulation,3각 측량
tripedal,3각의
tripodal,3각의
tripodic,3각의
trimetrogon,3각점 부감 촬영법다른 각도에서 3대의 카메라로 동시 활영하는 항공 사진 방식
threepiece,3개1세트의
triglot,3개국 말로 쓴
trilingual,3개국어의를 말하는
trimonthly,3개월 마다의
trigonous,3개의 각이 있는
shiprigged,3개의 돛대에 가로 돛을 단
trilabiate,3개의 순판을 가진
triunity,3개조
interservice,3군사이의
triode,3극 진공관
tripolar,3극의
triennial,3년 계속되는
trireme,3단
tripleexpansion,3단 팽창식의
minuteman,3단계 대륙간 탄도탄
tribrach,3단절음보
trimaran,3동선
troika,3두 마차
steerage,3등선실
thirdrate,3등의
thirdrater,3등품
terpolymer,3량체
triple,3루타
pennyaliner,3류 작가
cyclo,3륜 택시
cyclopousse,3륜 택시
threewheeler,3륜차
ticktacktoo,3목 놓기
minuet,3박자의 느린 춤
trijet,3발 제트기
trimotor,3발기
treble,3배
triplication,3배
thrice,3배로
trebly,3배로
triplicate,3배로 하다
triplicity,3배성
triply,3배으로
threefold,3배의
tripody,3보격의 시구
trilogy,3부곡
tripartite,3부로 나누어진
threepair,3부로 된
tripartition,3부로 이루어지는
triad,3부작
tribe,3부족의 하나
trichotomy,3분
trisection,3분
trichroism,3색성
trichroic,3색성의
trigram,3선형
trigoneutic,3세대 성의
seraph,3쌍 날개의 천사
tercet,3연음
triplet,3연음표
ternary,3원의
hyzone,3원자 수소
tripersonality,3위격성
trihybrid,3유전자 잡종
trisyllable,3음절어
trisyllabic,3음절의
triumvirate,3인 관리제
threesome,3인경기
triphosphate,3인산염
three-seater,3인승의; 3인승 차/비행기
bernard,3인의 프랑스 성자의 이름
triangle,3인조
trio,3인조
was,3인칭 단수
vivax,3일열 말라리아 원충
atrophia,3자 사이에서
trilemma,3자 택일해야 하는 궁지
trialogue,3자 회담
threeway,3자간의
cubic,3제곱의
cube,3제곱하다
trigraph,3중음자
terzetto,3중주
tertiary,3차
threedecker,3층 갑판의 군함
trilaminar,3층의
trine,3층의
threepence,3펜스
threepenny,3펜스의
rebeck,3현 악기
trichord,3현악기
twobeat,4/4박자로 2박자와 4박자에 를 두는
fortyfold,40배의
fortieth,40번째
quadragenarian,40세의
fortyfive,45구경 권초
fortyeightmo,48절판
quadrivalence,4가
tetrad,4가 원소
quadrivalent,4가의
tetravalent,4가의
stannic,4가의 주석을 함유하는
foursquare,4각의
tetragon,4각형
yawl,4개의 노로 젓는 함재 보트
quadruplicate,4개짜리 중의 하나
quadruple,4겹의
quadruplex,4곱의
quadrivium,4과
dynatron,4극 진공관의 일종
tetrode,4극관
quadrupole,4극자
fourposter,4기둥의 대형침대
quadrennium,4년간
quadrennial,4년간의
fourbyfour,4단 변속의 4륜 구동의 트럭
quadrireme,4단노의 갤리선
tetrachord,4도 음계
fourcolor,4도의
quadriga,4두 2륜 전차
fourinhand,4두마차
quartering,4등분
sociable,4륜 마차
phaethon,4륜 쌍두마차
buckboard,4륜 짐마차
rulley,4륜 짐수레
britska,4륜 포장마차
landau,4륜 포장마차
fourwheeler,4륜 합승 마차
fourwheel,4륜식의
fourwheeled,4륜식의
wagon,4륜차
tetrahedral,4면의
tetrahedron,4면체
fourfold,4배
tetraploid,4배체
quadricentennial,4백년 기념
quatercentenary,4백년제
cleanup,4번
quarter,4분의 1; 15분; 25센트 동전; 분기
quadrilateral,4변형
harmonist,4복음서의 공관적 연구자
fourpart,4부 합창의
tetralogy,4부극
quadripartite,4부로 나누어진
tetrarch,4분 영주
crotchet,4분 음표
quarterage,4분기마다의 지불
quartered,4분된
