unstained,더렵혀지지않은
qswitch,레이저로 첨두 출력이 큰 펄스를 끌어내는 장치
racon,레이콘
rainsuit,레인 슈트
raincoat,레인 코트
waterproof,레인코트
railgun,레일건
lounging,레저 용의
kedgeree,레저리
leisurewear,레저웨어
regge,레제 이론의
reseau,레조
resorcinol,레조르시놀
regisseur,레지쇠르
recitative,레치타타보 풍의
phonorecord,레코드판
requiem,레퀴엠
retort,레토르트
letraset,레트라셋
lett,레트말
repertoire,레퍼터리
repertory,레퍼터리 방식
refugium,레퓨지아
lev,레프
replicase,레플리카아제
replicon,레플리콘
lehua,레후아
lek,렉
rectenna,렉테나
lentil,렌즈콩
wrench,렌치
rembrandt,렘브란트
rembrandtesque,렘브란트풍의
lempira,렘피라
rep,렙
repp,렙
lepcha,렙차 말
leptospirosis,렙토스피라병
sentient,력이있는
rho,로
tapestried,로 꾸민
acity,로 끝나는 형용사에 대응하는 명사를 만듦
slipper,로 때리다
lamellate,로 만든
decruit,로 배치 전환하다
foilsman,로 펜싱하는 사람
letting,로 하여금
forcing,로 하여금
rogallist,로갈로
loganberry,로건베리
logos,로고스
logocentrism,로고스 중심주의
roneo,로네오 복사기로 복사하다
rhodamine,로다민
rodin,로댕
loader,로더
lodestar,로덴
rhodes,로도스섬
rhodolite,로돌라이트
rhodium,로듐
roadwork,로드워크
rodeo,로디오
rhodesia,로디지아
rhodesian,로디지아 사람
laurasia,로라시아 대륙
loran,로랜
lorraine,로렌
lawrencium,로렌슘
lorelei,로렐라이
roman,로마
rome,로마
romanize,로마 사람식이 되다
papyrus,로마 사람의  제지 원료
ares,로마 신화의 에 해당
mick,로마 카톨릭 교도
augusttan,로마 황제 의작가
legate,로마교황사절
romanesque,로마네스크식
romany,로마니말
rommany,로마니말
romeward,로마로
tiber,로마를 흐르는 강
amphora,로마시대의 족자리 둘 달린 긴 항아리
aurelius,로마황제
caesar,로마황제
romansh,로만시 말의
romancer,로맨스작가
lome,로메
romaine,로메인
lomotil,로모틸
romulus,로물루스
romeo,로미오
rover,로버
gagroot,로벨리아
lobelia,로벨리아
robo,로보
skysweeper,로봇 고사포
roboteer,로봇 기술자
roboticist,로봇 기술자
robotics,로봇공학
robotic,로봇식의
robotomorphic,로봇적인
robotology,로봇학
robotize,로봇화
lobbyist,로비스트
robin,로빈
qua,로서의 자격으로
rossetti,로세티
lotion,로션
angeleno,로스앤젤레스 주민
rosinante,로시난테
rosaniline,로자닐린
bead,로자리오
rosary,로자리오
rosarian,로자리오회회원
lausanne,로잔
roseau,로조
rosemary,로즈메리
colophony,로진
rosin,로진
locarno,로카르노
locker,로커
rockabilly,로커빌리
localizer,로컬라이저
airframe,로케트의기체
rocketry,로켓
rocketsonde,로켓존데
loco,로코병
locoism,로코병
locoweed,로코초
rococo,로코코식
rockoon,로쿤
roquefort,로크포르
roquelaure,로클로르
loki,로키
locket,로킷
rotameter,로타미터
rotavirus,로타바이러스
rotavator,로터베이터
rotenone,로테논
rotterdam,로테르담
rotogravure,로토그라비어 사진 페이지
rotograph,로토그래프
rotochute,로토슈트
rotoscope,로토스코프
rototiller,로토틸러
karabiner,로프 고정 고리
cording,로프류
ropework,로프사용법
lofter,로프터
loftbombing,로프트 폭격법
groupie,록그룹 등의 뒤를 쫓아다니는 여자 팬
bandmoll,록밴드를 따라다니는 여자
rockair,록에어
rodkefeller,록펠러
poprock,록풍의 대중 음악
lockheed,록히드 비행기
rhone,론강
rondel,론델체
rondo,론도
rondeau,론도체으로 쓰임
collared,롤 말이로 말은
lollard,롤라드
rolamite,롤라마이트
roland,롤랑
raleigh,롤리
rollmops,롤몹스
bun,롤빵
rolfing,롤프식 맛사지
loam,롬
lombard,롬바르드족의 사람
lombardy,롬바르디아
loamy,롬의
rompers,롬퍼스
longhorn,롱혼
roentgen,뢴트겐
radiographer,뢴트겐 기사
radiograph,뢴트겐 사진
roentgenogram,뢴트겐 사진
scotograph,뢴트겐 사진기
radiopaque,뢴트겐 사진으로 보이는
roentgenotherapy,뢴트겐 요법
radioscopy,뢴트겐 진찰
roentgenology,뢴트겐과
roux,루
runic,루닉
rood,루드
rudbeckia,루드베키아
lurex,루렉스
ruhr,루르지방
rumania,루마니아
rumanian,루마니아 말
hora,루마니아.이스라엘의 원무
bucharest,루마니아의수도
roomette,루멧
luba,루바어
rubato,루바토
rubeosis,루베오시스
rubredoxin,루브레독신박테리아 속의 전도성 단백질의 하나
louvre,루브르 박불관
ruble,루블
ruby,루비
rubidium,루비듐
rubasse,루비색 석영
rubicon,루비콘강
rubinstein,루빈슈타인
lusaka,루사카
rousseau,루소주의
luzon,루손섬
ruching,루슈 장식
roosevelt,루스벨트
lusitania,루시타니아
luciferase,루시페라아제
luciferin,루시페린
leucine,루신
ruana,루아나
rouen,루앙
antoinette,루이 14세의  왕비로서      프랑스혁명 때 처형당함
lewisite,루이사이
lewisham,루이셤
lewes,루이스
louis,루이스
rouge,루즈
bagger,루타
rue,루타
luther,루터
lutheran,루터파의
ruthenium,루테늄
ruthenic,루테늄의
lutein,루테인
lutetium,루테튬
loupe,루페
rupee,루피
rupiah,루피아인도네시아의 화폐단위 , 기호 , =100 sen , 루피아 지폐
lupin,루핀콩
luxemburg,룩셈버그
luxon,룩손
lookup,룩업
rune,룬 문자
roulade,룰라드
roulette,룰렛
rumba,룸바
flopper,룸펜
lumpen,룸펜의
ruth,룻
rheumatism,류머티즘
rheumatology,류머티즘학
ruche,류슈
lutanist,류트 연주자
packsack,륙색
rucksack,륙색
renaissance,르네상스
renaissant,르네상스의
renoir,르누아르
montesquieu,르랑스의 사상가
leboyer,르브와이에 분만방식의
rwanda,르완다
reuben,르우벤
lucretia,르크레티아
reportage,르포르타주
diplomad,를 가진
scylla,를 마주보는 이탈리아 남단의 큰 바위
charioteer,를 모는 사람
garnishee,를 받는 사람
tiaraed,를 쓴
shapable,를 이룰 수 있는
cankerous,를 일으키는
con,를 지휘하다
crackling,를 짜낸찌끼
varitype,를 치다
indochina,를 포함하는 경우와
fieldworker,를 하는 과학자
bricoleur,를 하는 사람
irredentism,를 합병하려는 운동
ms,를 합친 여성에의 경칭
riga,리가
ligase,리가제
rigel,리겔
lignose,리그노스
lignify,리그닌
ligroin,리그로인
underlinen,리넨 등으로 만든 속옷
reno,리노
renography,리노그래피
renogram,리노그램
linocut,리놀륨 인각
linus,리눅스 커널 개발자
linin,리닌
rutherford,리더퍼드
iridium,리듐
ophicleide,리드 음전
rydberg,리드베르크
reedman,리드주자
rhythmist,리듬 감각이 있는 사람
cadent,리듬있는
eurhythmics,리듬체조
lydian,리디아 말
lyre,리라
lima,리마
limoges,리모주 도자기
limousin,리무쟁종의소
limo,리무진
limousine,리무진
limiter,리미터
ribavarin,리바비린
retro,리바이벌
revivable,리바이벌
scouse,리버풀 방언
libermanism,리베르만주의
rebate,리베이트
rna,리보 핵산
ribonuclease,리보뉴클레아제
ribosome,리보솜
ribose,리보오스
riboflavin,리보플라빈
adenosine,리보핵산의 효소분해에 의하여 얻어짐
ribboned,리본 모양의 줄이 있는
rebekah,리브가
livre,리브르
libreville,리브르빌
librium,리브리엄
libidinal,리비도의
levis,리비스
libya,리비아
riviera,리비에라 해안 지방
livy,리비우스
lysergicacid,리세르그산
lysenkoism,리셍코학설
lysogen,리소겐
lysostaphin,리소스타핀
lysosome,리소좀
lisbon,리스본
listerism,리스터 소독법
listerize,리스터식 소독을 하다
lysin,리신
rya,리아
liana,리아나
lyase,리아제등의 효소
rial,리알
reactor,리액터
reactance,리액턴스
riyadh,리야드
riyal,리얄
realism,리얼리즘
lyons,리용
lysol,리졸
lysine,리진
richard,리처드
richrdson,리처드슨
flickertail,리처드슨 땅 다람쥐
ricardo,리카도
ricardian,리카도 학도
rickettsia,리케차
likud,리쿠드
liqueur,리큐어술
rickrack,리크랙
ricrac,리크랙
lycurgus,리크르구스
rickey,리키과 탄산수에 라임과즙을 탄 음료
ritardando,리타르단도의 악정
liter,리터
ritornello,리토르넬로
lithopone,리토폰
lithuania,리투아니아
lithuanian,리투아니아 말
lithium,리튬
litmus,리트머스
turnsole,리트머스
lytton,리튼
spodumene,리티아 휘석
lepidolite,리티아운모
rifamycin,리파마이신
lipase,리파제
lipoprotein,리포 단백질
liposome,리포솜
lipoid,리포이드
lipotropin,리포트로핀
riff,리프
liftback,리프트백차
reflation,리플레이션
lictor,릭토르
linnaeus,린네
flax,린네르
linen,린네르
inkle,린네르 테이프
incle,린네르 테이프
linnaean,린네식 분류법에 따르는 사람
lindane,린데이
linden,린덴
lynch,린치를 가하다
lint,린트천
relaxin,릴랙신
lilith,릴리스
riel,릴캄푸치아의 화폐 단위
rilke,릴케
rimmon,림몬
limburger,림버거 치즈
lymphotoxin,림포 톡신
lymphokine,림포카인
lymphocyte,림프톨
lipstick,립스틱
ringgit,링깃
ringbinder,링바인더의 바인더
ringside,링사이드
lincoln,링컨
lincolnshire,링컨셔
lincomycin,링코마이신
lincrusta,링크러스타
yam,마
marg,마가린
margarine,마가린
whitebeam,마가목류
rowanberry,마가목의 빨간 열매
capricorn,마갈궁
bung,마개 막다
nogging,마개 벽돌마개 벽돌 쌓기
corkage,마개 뽑는 서비스료
abroach,마개를 따고
untapped,마개를 안 뽑은
marguerite,마거리트
devildom,마계
forecefully,마구
stables,마구간
harnessry,마구류
saddlery,마구류
saddleless,마구상
indiscrimination,마구잡이
bookmaking,마권업
bookie,마권업자
bookmaker,마권업자
demonolatry,마귀숭배
magnalium,마그날륨
magnesite,마그네사이트
magnesium,마그네슘
magnetron,마그네트론
magnox,마그녹스로
maghreb,마그레브 지방
magma,마그마
magian,마기 승족의
magus,마기족 사람
managua,마나과
manama,마나마
manakin,마나킨 새
mannequin,마네킹
witch,마녀
enchantress,마녀
coven,마녀 집회
hagborn,마녀를 어머니로 하는
esbat,마녀의 집회
medusa,마녀의 하나
agate,마노
agateware,마노 무늬의 도기
furl,마는 법
garlicky,마늘 냄새가 나는
allium,마늘류
kielbasa,마늘을 넣은 폴란드의 훈제 소시지
barbed,마늘이 있는
mithridate,마능 해독제
manichaeism,마니교
manichaean,마니교도
manichee,마니교의 교도
manila,마닐라 삼
abaca,마닐라삼
maam,마님
milady,마님
missis,마님
mauritius,마다가스카르섬 동쪽 인도야의 섬 나라
madagascan,마다카르 사람
eee,마당발
madeira,마데이라 흰포도주
curlew,마도요
whaup,마도요
broker,마도위
horsepox,마두
madrilene,마드릴렌
madeleine,마들렌
middletown,마들타운
nodose,마디많은
knurly,마디투성이
knottiness,마디투성이
knotgrass,마디풀
pleasing,마뜩하다
marrano,마라노인
maraschino,마라스키노 술
maraca,마라카스
mahratta,마라타 사람
spliff,마라화나 담배
marengo,마렝고풍의
bewitchment,마력
witchcraft,마력
hoppedup,마력을 높인
lowpowered,마력이 적은
witching,마력있는
marronnier,마로니에
conker,마로니에 놀이
marronglace,마롱글라세
carpeting,마루깔개감
keystone,마루돌
floorboards,마루청
floorcloth,마룻걸레
halyard,마룻줄
maar,마르
margarita,마르가리타
choke,마르게 하다
drainless,마르는 일이 없는
quince,마르멜로
marsala,마르살라 백포도주
marseilles,마르세이유
marcella,마르셀라
mars,마르스  마르스
markka,마르카
marconigram,마르코니식 무선 전신
marxian,마르크스의
marxism,마르크스주의
marxist,마르크스주의자
martini,마르티니
desiccation,마름
ashlaring,마름돌 ?기
diamondcut,마름모 꼴로 다듬은
diamondback,마름모 무늬가 있는 동물
lozenge,마름모꼴
rhombochasm,마름모꼴 균열
diapered,마름모꼴 무늬가 있는
rhombic,마름모꼴의
argyle,마름모색무늬
marinara,마리나라
marinade,마리네드
marinate,마리네드에 담그다
marius,마리우스
marihuana,마리화나
weedhead,마리화나 상용자
pothead,마리화나 중독자
bhong,마리화나 흡연용 파이프
tetrahydrocannabinol,마리화나의 유효 성분
gyve,마리화난
smallpox,마마
marmalade,마멀레이드
marmot,마멋
abrasion,마멸
detrition,마멸
whistler,마모트의 무리
benchwork,마무리 손질
unwrought,마무리되지 않은
whirler,마무리용 녹로
cilice,마미단
haircloth,마미단
necromancy,마법
sorcery,마법
wizardry,마법
conjurer,마법사
mage,마법사
sorcerer,마법사
charmed,마법에 걸린
hex,마법을 걸다
disenchant,마법을 풀다
bewitch,마법을걸다
philter,마법의 약
ass,마보
coachman,마부
horseboy,마부
stableboy,마부
chipboard,마분지
millboard,마분지
strawboard,마분지
palsy,마비
paralysis,마비
torpidity,마비 상태
torpify,마비되다무감각하게 되다
paralyzation,마비상태
torporific,마비성의
numbing,마비시키는
anesthetize,마비시키다
paralyze,마비시키다
paralytic,마비의
farcy,마비저
paragun,마비총
massager,마사지 기계
shampoo,마사지 하다
tiltyard,마상 창 시합장
joust,마상 창시합
canoe,마상이
devilism,마성
fairyhood,마성
masse,마세
maserati,마세라티
maseru,마세루의 수도
horsehair,마소직
attrition,마손
masurium,마수륨의 별칭
manege,마술 연습소
necromancer,마술사
wicca,마술숭배
hellbroth,마술용 마약
enchant,마술을걸다
sorcerous,마술의
necromantic,마술적인
eyeblack,마스카라
mascara,마스카라
mascot,마스코트
mascon,마스콘
respirator,마스크
masking,마스킹
mast,마스트
merrymaker,마시고
potlatch,마시고 떠드는 모임
revelrout,마시고 떠드는 사람들
revel,마시고 흥청거리다
potation,마시기
drinking,마시기의
marshmallow,마시맬로
horsefair,마시장
undrinkable,마시지 못할
demogorgon,마신
drinkable,마실 것
maya,마야말
maecenas,마에케나스
maori,마오리 사람
maoriland,마오리 사람의
rangatira,마오리족의 추장
maotai,마오타이주
archfiend,마왕
erlking,마왕
satan,마왕
marjoram,마요라나
piton,마우에르하켄
maui,마우이 섬
unwilling,마음 내키지 않은
heatreasing,마음 놓이게 하는
distractingly,마음 산란하게
wellbeloved,마음 속으로부터 귀염을 받는
harrowing,마음 아픈
vexed,마음 아픈
heartache,마음 아픔
kvell,마음껏 즐기다
wellcontent,마음껏 즐긴
undisposed,마음내키지 않는
involuntary,마음내키지 않는무의식 중의
bendy,마음대로 구부릴 수 있는
disposable,마음대로 할수 있는
optional,마음대로의
freespoken,마음먹은대로 말하는
dicing,마음모꼴 장식
considerate,마음씨 좋은
tormentingly,마음에 걸려
envision,마음에 그리다
ensoul,마음에 담아두다
mindful,마음에 두는
unmindful,마음에 두지않는
likeable,마음에 드는
favourite,마음에 드는것
upspring,마음에 떠오르다
penetrative,마음에 사무치는
rankle,마음에 사무치다
kindless,마음에 안 드는
headtrip,마음에 영향을 주는 체험
applesauce,마음에도 없는 아첨
haunting,마음에서 떠나지 않는
unsatisfactory,마음에차지않는
mentally,마음으로
infelt,마음으로 느낀 마음내부에서 경험된
heartfelt,마음으로 부터의
gusto,마음으로 부터의 기쁨
heartily,마음으로부터
newborn,마음을 고쳐먹은
solvent,마음을 누그러지게 하는
absorbed,마음을 빼앗긴
captivate,마음을 사로 잡다
engrossing,마음을 사로잡는
reck,마음을 쓰다
obfuscate,마음을 어둡게하다
discompose,마음을 어지럽히다
unmoving,마음을 움직이지 못하는
spiritualize,마음을 정화하다
corrosion,마음을 좀 먹기
corrode,마음을 좀먹다
pungent,마음을 찌르는
faze,마음을 혼란케 하다
unengaging,마음을끌지 않는
taky,마음이 끌리는
uninviting,마음이 끌리지 않는
disincline,마음이 내키지 않게하다
indisposed,마음이 내키지 않는
reluct,마음이 내키지 않다
halfhearted,마음이 내키지 않은
relent,마음이 누그러지다
tempting,마음이 당기는
stormtossed,마음이 동요하는
inviting,마음이 동하는
discomposingly,마음이 뒤숭숭하게
disaffected,마음이 떠난
congenial,마음이 맞는
instable,마음이 변하기 쉬운
mercurial,마음이 변하기 쉬운
tortuous,마음이 빙퉁그러진
discomposed,마음이 산란해진
eventempered,마음이 안정된
narrowminded,마음이 좁은
easeless,마음이 편치 않은
gemutlichkeit,마음이 편함
fidget,마음졸이다
minus,마이너스
detractive,마이너스
diseconomics,마이너스 경제 정책
meistersinger,마이스터징거
miamian,마이애미의
micromechanics,마이크로 공학
overmike,마이크로 과도하게 증폭하다
micromachine,마이크로 기계
microrocket,마이크로 로켓
microminicomputer,마이크로 미니 컴퓨터
minibus,마이크로 버스
microscience,마이크로 사이언스
microsleep,마이크로 수면
microtheory,마이크로 이론
micropublication,마이크로 출판물
microencapsulate,마이크로 캡슐에 넣다
microcomputer,마이크로 컴퓨터
microteaching,마이크로 티칭
microfarad,마이크로 패러드
microprogram,마이크로 프로그램
microprobe,마이크로 프로브
microprism,마이크로 프리즘초점 스크린 위에 있는 미소 프리즘
microfilm,마이크로 필름
microphotograph,마이크로 필름
microform,마이크로 필름으로 복사하다
microrevolution,마이크로 혁명
microgauss,마이크로가우스
microdot,마이크로도트
microreader,마이크로리더
microbar,마이크로바100만분의 1바
microbus,마이크로버스
microskirt,마이크로스커트
microsphere,마이크로스피어
microcard,마이크로카드축사 사진 카드
microcode,마이크로코드
microcurie,마이크로퀴리방사능 강도의 단위 의 100 만분의
microtext,마이크로텍스트
mase,마이크로파를 증폭하다
micropublish,마이크로폼으로 출판하다
microprocessor,마이크로프로세서
microfiche,마이크로피시
demagnify,마이크로화하다
offmike,마이크에서 떨어진
mitomycin,마이토마이신
milo,마일로
magyar,마자르 사람
mahjong,마작
magellan,마젤란
majorca,마조르카
masochism,마조히즘
mazurka,마주르카춤
mazourka,마주르카춤
opposite,마주보는
grudgly,마지 못해
lukewarm,마지근하다
maginotline,마지노선
oxytone,마지막 음절에 악센트가 있는
homestretch,마지막부분
begrudgingly,마지못해
reluctantly,마지못해
unwillingly,마지못해
matsu,마쭈
standardbred,마차 경주용 말
hippodrome,마차 경주장
equipage,마차 장비 일체
laager,마차 환상 배치 진영
carriageable,마차가 다닐 수 있는
carriageway,마차길
auriga,마차꾼자리
wagoner,마차부자리
hackman,마차업자
cabdriver,마차의 마부
triboluminescence,마찰 발광
stridulation,마찰 발음
abrasive,마찰 있는
triboelectric,마찰 전기의
tribometer,마찰계
tribology,마찰공학
fricative,마찰로 생기는
frictional,마찰로 일어나는
spirant,마찰음의
triboelectricity,마찰전기
forage,마초
stover,마초
forager,마초 징발 대원
madetoorder,마춤의
anesthesia,마취
anesthetization,마취
narcotism,마취
poppied,마취된
arbutus,마취목
narconalysis,마취분석
anesthetist,마취사
narcotic,마취성의
stupefacient,마취시키는
narcotize,마취시키다
stupefy,마취시키다
anesthetic,마취약
narc,마취의 뜻
narco,마취의 뜻
opiate,마취제
pentothal,마취제
hocus,마취제를 타다
seasonably,마침 좋은 때에
macaroon,마카롱
maccabaeus,마카베공
maccabees,마카베오서
macassar,마카사르 향유
macedonia,마케도니아
macedonian,마케도니아의
alexander,마케도니아의왕
marketer,마케팅 담당자
macaw,마코 앵무새
macrame,마크라메레이스
maquisard,마키 대원
machiavellism,마키아벨리주의
mattew,마태
martensite,마텐자이트
matico,마티코
vervain,마편초속의 다년초
verbena,마편초속의 식물
maputo,마푸토
mafioso,마피아 단원
mafiology,마피아 연구
mafiosi,마피아의 일원
machmeter,마하계
mahabharata,마하바라다
mussel,마합
mahogany,마호가니
satinwood,마호가니류
baywood,마호가니의 일종
mohammed,마호메트
islam,마호메트교
mecca,마호멧의 탄생지
booth,막
interlude,막간
magdala,막달라
incalculable,막대하다
obstinate,막무가내
antefix,막새
panocha,막설탕
indefinitely,막연히
vaguely,막연히
factotum,막일꾼
scarious,막질
membrane,막피
embay,만 모양으로 하다
embayment,만 모양의것
dirge,만가
elegy,만가
elegiac,만가의
cirripede,만각류의
incurvate,만곡된
bight,만곡보
vesperal,만과집
expiry,만기
maturity,만기
termination,만기
timeexpired,만기 제대의
ets,만기 제대하다
satiety,만끽
manna,만나
eternity,만년
perpetuity,만년
firn,만녈설
universality,만능
trammel,만능 갈고리
wanderplug,만능 플러그
azoth,만능약
mandala,만다라
evensong,만도
mandola,만돌라
mandolinist,만돌린 주자
echinus,만두형
fabricable,만들수 있는
basesloaded,만루의
formidable,만만찮은
gutfighter,만만찮은적
alkahest,만물융해약
omnific,만물을 창조하는
benedicite,만물의 송
fullblown,만발하다
broadblown,만발하다
elixir,만병 통치약
catholicon,만병통치약
bellyful,만복
dorado,만새기
bullnose,만성비염
cowabunga,만세
heil,만세
rah,만세
yippee,만세
hurrah,만세하고 외치다
whatif,만약의 문제
offchance,만에 하나의 가능성
infest,만연하다
rampantly,만연하다
desultorily,만연히
balls,만용
temerity,만용
fullorbed,만월의
pantheistic,만유 신교의
pansophic,만유 지식의
panentheism,만유내재신론
cruiser,만유자
pansophism,만유지식
myriad,만의
provided,만일 이라면
eventuality,만일의 경우
fylfot,만자
swastika,만자
manzanilla,만자니야
unanimity,만장 일치
neminecontradicente,만장 일치로
roomful,만장의사람들
peerhscomnekr,만전지책
gosa,만전지책
impalpable,만져 보아도 알수없는
tactile,만져서 알 수 있는
tangibility,만져서 알 수 있음
intangibility,만져서 알수 없는것
impalpability,만져서 알수 없음
tangible,만져서 알수 있는
seamark,만조선
intertidal,만조와 간조사이의
floodmark,만조표
gratifing,만족 시키는
gratification,만족 시키는 것
gratify,만족 시키다
unsatisfying,만족시키지 않는
satiable,만족시킬 수 있는
satisfying,만족을 주는
complacence,만족을 주는 것
unpleasing,만족을 주지 않는
satisfactorily,만족하게
unsatisfied,만족하지않는
satisfiable,만족할 수있는
insatiable,만족할줄 모르는
insatiability,만족할줄 모름
manchuria,만주
manchu,만주말의
manchurian,만주사람
toucher,만지는 사람물건 , 거의 , 아슬아슬하게
fumbling,만지작거리는
palpable,만질 수 있는
fuddle,만취
sozzle,만취하게 하다
crashed,만취한
sozzled,만취한
tanked,만취한
mantilla,만틸라
heathenism,만풍
opsimath,만학하는 사람
barbarity,만행
brutality,만행
kaleidoscope,만화경
caricature,만화식으로 그리다
retrieval,만회
renascent,만회하는
irretrievable,만회할 가망이 없는
decimate,많은  사람을 죽이다열명에 하나씩 죽이다
beflag,많은 기로 장식하다
frenchfry,많은 기름에 담가 튀기다
clambake,많은 사람이 법석대는 파티
energyintensive,많은 에너지를 소비하는
tuckin,많은 음식
multi,많은의 결합사
gob,많음
fecundate,많이 낳게하다
gluttonous,많이 먹는
batten,많이 먹다
gormand,많이 먹다
gormandize,많이 먹다
teem,많이 있다
firstling,맏배
맏아들,맏이
phatic,말 따위가 깊은 뜻이 없는 의례적인
mum,말 마라!
talkative,말 많은
chanter,말 매매 사기꾼
hippogriff,말 몸에 독수리 머리와 날개를 가진 괴물
blackguardly,말 버릇 더러운
vespiary,말 벌떼
stablecall,말 손질
mute,말 않는 배우
horsecar,말 운반자
voluble,말 잘 하는
trappings,말 장식
cockhorse,말 타듯 걸터 앉아
touguey,말 하기를 좋아하는
horsehide,말가죽
horsey,말같은
horseleech,말거머리
horseflesh,말고기
horsemeat,말고기
excepting,말고는
equine,말과같은
rompish,말괄량이의
flapper,말광량이
butteris,말굽 깎는 기구
amadou,말굽버섯과의 버섯으로 만든 해면상 물질
horsetail,말꼬리
captious,말꼬리를 잡고 늘어지는
featly,말끔하게
brawl,말다툼하다
wrangle,말다툼하다
extremity,말단
acromegaly,말단거대증
backchat,말대꾸
backtalk,말대꾸
impediment,말더듬이
stutterer,말더듬이
darned,말도 안되는
unutterable,말도 안되는
walker,말도 안되는 소리!
remuda,말떼
buteo,말똥가리
buzzard,말똥가리
paling,말뚝
palafitte,말뚝 가옥
monkeyengine,말뚝박는 기계
paled,말뚝으로 둘러 막은
impalement,말뚝으로 찌르는 형벌
perish,말라  죽다
malaga,말라가 흰 포도주
malaguena,말라게냐
malachi,말라기
drybones,말라깽이
malaria,말라리아
antimalarial,말라리아 예방약
plasmodium,말라리아 원충
malarial,말라리아의
paludal,말라리아의
coulee,말라버린 강바닥
malabo,말라보
scrawny,말라빠진
scrag,말라빠진 사람
malaya,말라야
blight,말라죽는 병
malacca,말라카
creese,말레이시아 사람의 단도
padoukwood,말레이시아산 콩과의 나무로 만든 장식용 목재
teledu,말레이오소리
malaysian,말레이의
bumiputra,말레이인
malaysia,말레이지아
curling,말려 올라감
outspeak,말로 이기다
unuttered,말로 표명되지 않은
ineffable,말로 표현할 수 없는
inexpressible,말로 표현할 수 없는
incommunicable,말로 할수 없는
algoid,말류 모양의
dissuasive,말리는
fatmouth,말만 하다
windily,말만으로
gabby,말많은
loquacious,말많은
garrulity,말많음
verbalism,말많음
touguetied,말문이 막힌
furlough,말미
deutzia,말발도리나무
cowherb,말뱅이나물
vespid,말벌
yellowjacket,말벌
wasp,말벌같은
vespine,말벌의
waspy,말벌의
hornet,말벌의 일종
fuzzball,말불버섯
puffball,말불버섯
accost,말붙임
currycomb,말빗
maltha,말사
rubout,말살
obliteration,말살
erase,말살하다
expunge,말살하다
obliterate,말살하다
horsefaced,말상의
horsemaster,말세주는 사람
effacement,말소
erasure,말소
obliterative,말소하는
mealymouthed,말솜씨 좋은
unvocal,말솜씨가 없는
plague,말썽
cleanish,말쑤한
spiff,말쑥하게 하다
spiffy,말쑥한
diction,말씨
wordage,말씨
wording,말씨
taciturn,말없는
wordless,말없는
horsecloth,말에 입히는 옷
welterweight,말에 지우는 중량물
malwa,말와
galloper,말을 갤럽으로 모는 사람
bespeak,말을 걸다
dressage,말을 길들임
overtalk,말을 너무 많이 하다
outtell,말을 다 해버리다
stutteringly,말을 더듬거리며
falteringly,말을 더듬으며
recalcitrance,말을 듣지 않음
wo,말을 멈추는 소리
nonverbal,말을 사용하지 않는
reticent,말을 삼가는
avertible,말을 수 있는
buttonedup,말을 안 하는
tougueless,말을 안 하는
honeymouthed,말을 잘 꾸며 대는
blazon,말을 퍼뜨리다
blarney,말을 하다
farrier,말의사
veterinarian,말의사
verbose,말이 많은
wordy,말이 많은
inflected,말이 변화된굴절되는
uncommunicative,말이 없는
whicker,말이 울다
horseless,말이 필요 없는
buckjump,말이등을 굽히고 껑충 뛰어 오름
jobmaster,말임대업자
ultimogeniture,말자 상속
coper,말장수
fasttalker,말재주가 좋은 사람
retailer,말전주꾼
flawless,말짱하다
buttinsky,말참견하는 사람
dogwood,말채나무
horsewhip,말채찍
peripheral,말초
distal,말초적
ridable,말타고 갈 수 있는
maltase,말타아제
outrider,말탄 종자
picador,말탄 투우사
botfly,말파리
gadfly,말파리
horseshoe,말편자
unsaid,말하지않는
effable,말할 수 있는
utterance,말함
unmentionable,말해서는 안 될
grayhead,말향 고래의 늙은 수컷
cachalot,말향고래
clarification,맑게 함
refine,맑아지다
clearness,맑음
mamba,맘바
mambo,맘보
bejabbers,맙소사!
tasteable,맛 있는
racily,맛 좋게
savory,맛 좋은
yummy,맛나는
flavoring,맛내기
gustation,맛보기
relishable,맛볼 수 있는
insipid,맛없는
insipidity,맛없음
quickfreeze,맛이 변하지 않도록
flavored,맛이 있는
rammish,맛이 짙은
unsavory,맛이나쁜
appetizing,맛있어 보이는
flavorful,맛좋은
flavorsome,맛좋은
conk,망가지다
oblivion,망각
manganate,망간산염
ferromaganese,망간철
sentry,망꾼
delusions,망념
fantasies,망념
anility,망령
retina,망막
retinoscopy,망막 검영법
retinotectal,망막 시개 사이의
electroretinograph,망막 전기 측정기
retinitis,망막염
limitless,망막한
sentinel,망보다
bobbinet,망사직
mirage,망상
reticle,망선
diffidence,망설임
hesitance,망설임
hesitancy,망설임
vacillation,망설임
pillory,망신칼죄인의 목과 양손을 기운 채 뭇사람에서 망신을 당하게 하던 옛날의 형틀 , 망신칼을 씌워 내뵈다 , 웃음거리로 만들다
colt,망아지
foal,망아지
vives,망아지의 악하선염
stupefaction,망연
lotus,망우수
telespectroscope,망원 분광기
telephoto,망원 사진
telephotograph,망원 사진
photopolarimeter,망원 사진 편광계
telephotography,망원 사진술
telescopist,망원경 관측자
telescopy,망원경 사용법
telescopic,망원경으로 본
ingratitude,망은
cur,망종
unstuck,망쳐지다
glauber,망초
peen,망치 대가리
spoilage,망치기
botch,망치다-서투른 수선
devastation,망친
naught,망한
goddamn,망할
